pair_coeff i j pot ep_ij sig_ij lmd_ij lmd_a
pair_coeff 1 1 mie/cut 0.339 3.752 16.39 6
pair_coeff 1 2 mie/cut 0.468 4.05 21.04 6
pair_coeff 1 3 mie/cut 0.522 4.312 23.47 6
pair_coeff 1 4 mie/cut 0.415 3.856 14.74 6
pair_coeff 1 5 mie/cut 0.46 4.0 16.22 6
pair_coeff 1 6 mie/cut 0.497 4.13 17.9 6
pair_coeff 1 7 mie/cut 0.531 4.259 19.69 6
pair_coeff 1 8 mie/cut 0.472 3.99 16.26 6
pair_coeff 1 9 mie/cut 0.521 4.168 18.49 6
pair_coeff 1 10 mie/cut 0.492 3.968 17.01 6
pair_coeff 2 2 mie/cut 0.656 4.349 27.3 6
pair_coeff 2 3 mie/cut 0.742 4.61 30.57 6
pair_coeff 2 4 mie/cut 0.576 4.155 18.81 6
pair_coeff 2 5 mie/cut 0.643 4.299 20.81 6
pair_coeff 2 6 mie/cut 0.7 4.428 23.07 6
pair_coeff 2 7 mie/cut 0.751 4.558 25.49 6
pair_coeff 2 8 mie/cut 0.659 4.288 20.87 6
pair_coeff 2 9 mie/cut 0.735 4.466 23.87 6
pair_coeff 2 10 mie/cut 0.688 4.266 21.87 6
pair_coeff 3 3 mie/cut 0.847 4.871 34.29 6
pair_coeff 3 4 mie/cut 0.646 4.416 20.94 6
pair_coeff 3 5 mie/cut 0.725 4.56 23.22 6
pair_coeff 3 6 mie/cut 0.794 4.69 25.77 6
pair_coeff 3 7 mie/cut 0.857 4.818 28.52 6
pair_coeff 3 8 mie/cut 0.744 4.549 23.28 6
pair_coeff 3 9 mie/cut 0.834 4.728 26.68 6
pair_coeff 3 10 mie/cut 0.775 4.527 24.42 6
pair_coeff 4 4 mie/cut 0.509 3.961 13.29 6
pair_coeff 4 5 mie/cut 0.566 4.104 14.59 6
pair_coeff 4 6 mie/cut 0.613 4.235 16.06 6
pair_coeff 4 7 mie/cut 0.656 4.364 17.63 6
pair_coeff 4 8 mie/cut 0.58 4.094 14.63 6
pair_coeff 4 9 mie/cut 0.643 4.272 16.58 6
pair_coeff 4 10 mie/cut 0.605 4.072 15.28 6
pair_coeff 5 5 mie/cut 0.631 4.248 16.06 6
pair_coeff 5 6 mie/cut 0.686 4.378 17.71 6
pair_coeff 5 7 mie/cut 0.736 4.507 19.49 6
pair_coeff 5 8 mie/cut 0.646 4.238 16.1 6
pair_coeff 5 9 mie/cut 0.72 4.416 18.3 6
pair_coeff 5 10 mie/cut 0.674 4.216 16.84 6
pair_coeff 6 6 mie/cut 0.748 4.508 19.57 6
pair_coeff 6 7 mie/cut 0.804 4.637 21.57 6
pair_coeff 6 8 mie/cut 0.703 4.368 17.76 6
pair_coeff 6 9 mie/cut 0.785 4.546 20.23 6
pair_coeff 6 10 mie/cut 0.733 4.345 18.59 6
pair_coeff 7 7 mie/cut 0.867 4.766 23.81 6
pair_coeff 7 8 mie/cut 0.754 4.496 19.54 6
pair_coeff 7 9 mie/cut 0.845 4.675 22.31 6
pair_coeff 7 10 mie/cut 0.786 4.474 20.47 6
pair_coeff 8 8 mie/cut 0.663 4.227 16.14 6
pair_coeff 8 9 mie/cut 0.737 4.406 18.34 6
pair_coeff 8 10 mie/cut 0.692 4.205 16.88 6
pair_coeff 9 9 mie/cut 0.825 4.584 20.92 6
pair_coeff 9 10 mie/cut 0.769 4.384 19.21 6
pair_coeff 10 10 mie/cut 0.721 4.183 17.66 6
