# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0130757556 
2.05 0.1230469041 
2.15 0.6238841768 
2.25 1.6795416382 
2.35 2.4652636601 
2.45 2.7585633329 
2.55 2.4501218118 
2.65 2.0506260045 
2.75 1.5820258141 
2.85 1.2207368743 
2.95 0.9908197616 
3.05 0.7109584871 
3.15 0.6384737285 
3.25 0.5385874431 
3.35 0.5397052099 
3.45 0.5982815448 
3.55 0.5753118045 
3.65 0.6121560392 
3.75 0.6577424284 
3.85 0.7749921241 
3.95 0.815931618 
4.05 0.9792680738 
4.15 1.024466091 
4.25 1.1436674999 
4.35 1.2362344942 
4.45 1.2611582771 
4.55 1.3081831361 
4.65 1.299902245 
4.75 1.2796905296 
4.85 1.2350765436 
4.95 1.1325052259 
5.05 1.0167291226 
5.15 0.9813790865 
5.25 0.9172864717 
5.35 0.854822763 
5.45 0.8257509135 
5.55 0.7985232769 
5.65 0.8234744141 
5.75 0.8417095489 
5.85 0.852705338 
5.95 0.8787872955 
6.05 0.9333988985 
6.15 1.0087417081 
6.25 1.0416488997 
6.35 1.0732325524 
6.45 1.1191072059 
6.55 1.1155672667 
6.65 1.1364726885 
6.75 1.1165838159 
6.85 1.1164406527 
6.95 1.0713661081 
7.05 1.0215777148 
7.15 1.0089613475 
7.25 1.0081902594 
7.35 0.9601390092 
7.45 0.9246807467 
7.55 0.9092472587 
7.65 0.9179231066 
7.75 0.9285008487 
7.85 0.9377609098 
7.95 0.9506705308 
8.05 0.9473048293 
8.15 0.9840973632 
8.25 1.0100705168 
8.35 1.0192606804 
8.45 1.0253674121 
8.55 1.0491430365 
8.65 1.0602524213 
8.75 1.0582414108 
8.85 1.0418271454 
8.95 1.0427650366 
9.05 1.0242198748 
9.15 1.0135974643 
9.25 0.9978452474 
9.35 1.0082438083 
9.45 0.9758807666 
9.55 0.9859773477 
9.65 0.9660758764 
9.75 0.9537893252 
9.85 0.9660959595 
9.95 0.9643559272 
