step temp press pressGiga vol ke pe density
0 1237.8064078642207733 51312.1443773305582 5.13121443773306 23297.952211883919517 327.51802620575222136 -8636.3920125820550311 8.6024035320728806653
1000 1101.1276307740204174 47891.374356922409788 4.78913743569224 23217.283533122743393 291.35343454392847207 -8671.8963180311729957 8.6322926672989197527
2000 1075.057921189856188 48680.409852767261327 4.86804098527673 23191.597569146873866 284.45550626328957833 -8675.2823691091489309 8.6418534040192032109
3000 1124.3953638327366207 57847.047681072435807 5.78470476810724 23125.917036702448968 297.50997239771294289 -8657.2144259736633103 8.6663973618645009367
4000 1099.9395842682781677 48171.267298204336839 4.81712672982043 23203.725141708921001 291.03908276474135164 -8676.2600952315515315 8.6373366851049890869
5000 1083.8613186007200966 45733.151360568073869 4.57331513605681 23246.095974559724709 286.78484575094495312 -8672.5831320202651114 8.6215933469822676471
6000 1118.395374508020268 50203.885962535779981 5.02038859625358 23217.437589702025434 295.92240212145514988 -8662.7084934761605837 8.6322353887351432888
7000 1121.8487716879894833 51826.700914930755971 5.18267009149308 23162.335765266157978 296.83615553305656931 -8676.023519166652477 8.6527709652719639877
8000 1083.8898144835263793 45669.257951649786264 4.56692579516498 23265.077337434206129 286.7923856337831694 -8668.8175502820322436 8.614559216405277553
9000 1100.0371303621463994 50975.32769327020651 5.09753276932702 23177.187023159949604 291.06489302386171403 -8673.1152338807332853 8.6472265248283175509
10000 1120.7171620803974292 50236.373816816492763 5.02363738168165 23218.944931360983901 296.53673670410290697 -8663.2297409689235792 8.6316749960019745203
11000 1105.6851538159837673 48203.299741532093321 4.82032997415321 23214.671033066948439 292.55933470861305068 -8672.1495207563984877 8.633264116131549315
12000 1070.4048733156907929 51800.303561115077173 5.18003035611151 23153.260403078053059 283.22433065625983772 -8675.6317882407311117 8.6561625839500031532
13000 1089.2676176932939143 60749.449408306871192 6.07494494083069 23101.857309406026616 288.21532825340096906 -8656.775880500284984 8.6754230931888809408
14000 1077.2693228999453368 47950.662296765127394 4.79506622967651 23220.038650983991829 285.04063324165622362 -8669.9813677256315714 8.6312684233659666688
15000 1105.8659487235449888 47359.068471635429887 4.73590684716354 23220.582626586590777 292.60717223061669756 -8671.8460905446263496 8.6310662234678297011
16000 1074.4866044730251815 53568.47854477223882 5.35684785447722 23156.99500804868876 284.3043384213346485 -8665.6751458546532376 8.6547665760568630589
17000 1114.9846410789214133 47335.511477484047646 4.7335511477484 23233.989336284237652 295.01993734706451278 -8669.6697190304657852 8.6260858390162233889
18000 1076.9557671108370869 46956.38443606178771 4.69563844360618 23202.971788910497708 284.95766778558675014 -8679.2254376448381663 8.6376171216724184632
19000 1115.5639293657341113 55146.659730523424514 5.51466597305234 23126.130238158333668 295.17321443069863562 -8671.2731677688789205 8.666317465724688418
20000 1062.3610545468484361 49411.038305924390443 4.94110383059244 23189.699642118437623 281.09597227195183677 -8673.1420801127187588 8.6425606838634614348
21000 1089.204993093253961 48827.375393535461626 4.88273753935355 23243.542678086509113 288.19875806498805559 -8660.5904819314437191 8.6225404265299605555
22000 1060.6401949553410304 57960.841395614697831 5.79608413956147 23090.145778961195902 280.6406405389708425 -8671.2607048266690981 8.679823346121466443
23000 1087.3073992455647385 48465.807827265394735 4.84658078272654 23227.827753286401276 287.69666324015378223 -8665.9817461207676388 8.6283740574586929029
24000 1104.1741816657520303 45850.31385270535975 4.58503138527054 23243.862941964554921 292.15953825162938529 -8673.4735864907415817 8.6224216214826885363
25000 1108.5998862174481019 55916.647164036723552 5.59166471640367 23118.617641362223367 293.3305598347559453 -8672.2465823894781352 8.6691336613051106497
26000 1095.085081704604363 50261.068955808637838 5.02610689558086 23205.544760598011635 289.75460315002635525 -8664.8836025491946202 8.6366594046900786452
27000 1120.3497129018214764 49344.718737324328686 4.93447187373243 23189.994178968230699 296.43951129879440032 -8675.0260295315656549 8.6424509144267673832
28000 1110.7300160013251116 53265.774792645519483 5.32657747926455 23146.278834473487223 293.89418262580386454 -8673.338545814553072 8.6587735260096021506
29000 1116.5782497941918336 41509.534379771408567 4.15095343797714 23330.309067590562336 295.4415990686824216 -8661.9951435197690444 8.5904728401557175488
30000 1107.8211847307045446 50103.914349677826976 5.01039143496778 23157.068293760905362 293.12451891242642432 -8685.6863392063860374 8.6547391861159361781
31000 1111.045257230814741 53765.867386708960112 5.3765867386709 23164.716935612621455 293.97759404184211007 -8665.242319733448312 8.6518815211361044248
32000 1128.8972181159426782 48358.388388673018198 4.8358388388673 23239.664232482449734 298.70114285840367074 -8664.0446147818838654 8.6239794341541049505
33000 1077.4049444562890585 48922.246440720482497 4.89222464407205 23203.80795481570749 285.07651809744822913 -8671.1650614668506023 8.6373058589282400987
