step temp press pressGiga vol ke pe density
0 2525.2493117329945562 49438.872894639171136 4.94388728946392 25785.693094267950073 668.16964672471488029 -7966.717003489327908 7.7724645858802823284
1000 2606.1892637463165556 46237.729454805987189 4.6237729454806 25987.855783460294333 689.58599515866103502 -7936.2366418083756798 7.7120016390551793251
2000 2623.5976519611444928 40265.295803523207724 4.02652958035232 26089.453033688099822 694.19217663527967943 -7940.8267326098248304 7.681969650294486307
3000 2591.7076144366169501 49249.448667479373398 4.92494486674794 25912.189429435740749 685.75421567522755595 -7934.9802227373493224 7.7345215055391669523
4000 2562.2648069994525031 49160.343858486266981 4.91603438584863 25853.295262730749528 677.96378082490650741 -7957.5026786512307808 7.7521408532587292584
5000 2615.6501005672430438 50666.864084135733719 5.06668640841357 25986.39956485597213 692.08929016679655888 -7914.1023191433632746 7.7124338020501079782
6000 2642.8482427226244909 56893.681458457889676 5.68936814584579 25827.522009254382283 699.28579664680751193 -7927.6667705216132163 7.7598767053905728375
7000 2688.783121568340448 59028.961733309639385 5.90289617333096 25740.919015175935783 711.43995965482417887 -7942.1273150398510552 7.7859841087808794313
8000 2625.6522817359332294 46374.375537450454431 4.63743755374505 25961.523440195796866 694.73582246240334825 -7934.8657319975172868 7.7198237945956185158
9000 2540.8299580674156459 42122.453488533115888 4.21224534885331 26112.313627191699197 672.29221589388271241 -7913.4160223979670263 7.6752443027060026637
10000 2580.1602743197645395 45364.149535123156966 4.53641495351232 26020.336094364804012 682.6988412491704139 -7925.2729532388893858 7.7023750066387419722
11000 2597.2522423691220865 53139.151152350234042 5.31391511523502 25965.387912190330098 687.22129936857561461 -7908.7327763144812707 7.7186748403432172694
12000 2659.5449047335769137 55201.572187892954389 5.5201572187893 25917.71324739042393 703.70365856068087851 -7918.4513210555851401 7.7328730542134120896
13000 2572.4326756387017667 52879.502559443149948 5.28795025594432 25900.676189230234741 680.6541532824156775 -7921.3400934634710211 7.7379596167034208065
14000 2525.1985283848989638 44150.56085423946206 4.41505608542395 26062.876410051831044 668.15620967847985412 -7919.3211067080819703 7.6898030456944805877
15000 2600.8963567342811984 48628.889597215464164 4.86288895972155 26002.582042791960703 688.18551569235785337 -7925.3820248800766421 7.7076340367949089938
16000 2669.0745424953179281 43877.446076494597946 4.38774460764946 26050.030965481219027 706.22515798930839992 -7930.3184961452752759 7.6935949390290137018
17000 2540.4047083820701118 47021.144516356973327 4.7021144516357 25979.167633774170099 672.17969673361335481 -7930.3927475866339591 7.7145807449589662852
18000 2644.6346948020895979 47877.850090490908769 4.78778500904909 26054.338662091056904 699.75848385803885776 -7913.7612675937816675 7.6923229177635290554
19000 2610.904044003990748 54705.824663005230832 5.47058246630052 25881.287239785582642 690.83350487760958458 -7924.5018688274094529 7.7437565041002107691
20000 2638.4754896056501821 46462.756216026144102 4.64627562160261 26034.370427895297325 698.1287857759173221 -7922.9519400698754907 7.698222891644469712
21000 2646.2614020068012906 49309.645706550254545 4.93096457065503 25988.974269627637113 700.18890329157613905 -7923.2204788716835537 7.7116697380318326438
22000 2587.0964285076879605 50615.401905642356724 5.06154019056424 26040.716436829701706 684.53411655123250057 -7898.7919977805868257 7.6963468683266045289
23000 2619.3982724288966892 47509.541191580545274 4.75095411915805 26075.385111396095454 693.08103963764222044 -7905.8501147222032159 7.6861141471687686177
24000 2552.1451373402928766 43406.151079351904627 4.34061510793519 26082.342210848128161 675.28616160144406422 -7915.5709336378595253 7.6840639838786293225
25000 2541.2018790416409502 45865.732128418778302 4.58657321284188 26042.199057338879356 672.39062451627216888 -7918.3221865775758488 7.695908704034579273
