# Chunk-averaged data for fix 14 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 52 1728
  1 -0.507493 33 0.0769192
  2 0.362507 11 0.0256397
  3 1.23251 61 0.142184
  4 2.10251 4 0.00932354
  5 2.97251 68 0.1585
  6 3.84251 0 0
  7 4.71251 72 0.167824
  8 5.58251 0 0
  9 6.45251 72 0.167824
  10 7.32251 0 0
  11 8.19251 72 0.167824
  12 9.06251 0 0
  13 9.93251 72 0.167824
  14 10.8025 0 0
  15 11.6725 58 0.135191
  16 12.5425 14 0.0326324
  17 13.4125 31 0.0722574
  18 14.2825 41 0.0955663
  19 15.1525 8 0.0186471
  20 16.0225 64 0.149177
  21 16.8925 3 0.00699265
  22 17.7625 69 0.160831
  23 18.6325 0 0
  24 19.5025 72 0.167824
  25 20.3725 8 0.0186471
  26 21.2425 56 0.13053
  27 22.1125 20 0.0466177
  28 22.9825 33 0.0769192
  29 23.8525 40 0.0932354
  30 24.7225 29 0.0675957
  31 25.5925 34 0.0792501
  32 26.4625 39 0.0909045
  33 27.3325 27 0.0629339
  34 28.2025 40 0.0932354
  35 29.0725 30 0.0699265
  36 29.9425 32 0.0745883
  37 30.8125 34 0.0792501
  38 31.6825 36 0.0839119
  39 32.5525 34 0.0792501
  40 33.4225 28 0.0652648
  41 34.2925 35 0.081581
  42 35.1625 35 0.081581
  43 36.0325 33 0.0769192
  44 36.9025 27 0.0629339
  45 37.7725 41 0.0955663
  46 38.6425 31 0.0722574
  47 39.5125 42 0.0978972
  48 40.3825 26 0.060603
  49 41.2525 40 0.0932354
  50 42.1225 34 0.0792501
  51 42.9925 22 0.0512795
  52 43.8625 17 0.039625
