# Chunk-averaged data for fix 14 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
200000 53 1728
  1 -0.995156 31 0.0788048
  2 -0.125156 15 0.0381313
  3 0.744844 57 0.144899
  4 1.61484 5 0.0127104
  5 2.48484 67 0.17032
  6 3.35484 1 0.00254209
  7 4.22484 71 0.180488
  8 5.09484 0 0
  9 5.96484 65 0.165236
  10 6.83484 7 0.0177946
  11 7.70484 52 0.132189
  12 8.57484 20 0.0508418
  13 9.44484 21 0.0533839
  14 10.3148 51 0.129647
  15 11.1848 1 0.00254209
  16 12.0548 68 0.172862
  17 12.9248 5 0.0127104
  18 13.7948 70 0.177946
  19 14.6648 0 0
  20 15.5348 72 0.18303
  21 16.4048 0 0
  22 17.2748 59 0.149983
  23 18.1448 13 0.0330472
  24 19.0148 36 0.0915152
  25 19.8848 36 0.0915152
  26 20.7548 15 0.0381313
  27 21.6248 57 0.144899
  28 22.4948 2 0.00508418
  29 23.3648 70 0.177946
  30 24.2348 3 0.00762627
  31 25.1048 68 0.172862
  32 25.9748 1 0.00254209
  33 26.8448 66 0.167778
  34 27.7148 6 0.0152525
  35 28.5848 62 0.15761
  36 29.4548 10 0.0254209
  37 30.3248 39 0.0991415
  38 31.1948 33 0.083889
  39 32.0648 15 0.0381313
  40 32.9348 57 0.144899
  41 33.8048 5 0.0127104
  42 34.6748 67 0.17032
  43 35.5448 0 0
  44 36.4148 71 0.180488
  45 37.2848 1 0.00254209
  46 38.1548 64 0.162694
  47 39.0248 8 0.0203367
  48 39.8948 57 0.144899
  49 40.7648 15 0.0381313
  50 41.6348 40 0.101684
  51 42.5048 32 0.0813469
  52 43.3748 18 0.0457576
  53 44.2448 23 0.0584681
