# Chunk-averaged data for fix 14 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
0 49 1728
  1 0.435 72 0.18303
  2 1.305 0 0
  3 2.175 72 0.18303
  4 3.045 0 0
  5 3.915 72 0.18303
  6 4.785 0 0
  7 5.655 72 0.18303
  8 6.525 0 0
  9 7.395 72 0.18303
  10 8.265 0 0
  11 9.135 72 0.18303
  12 10.005 0 0
  13 10.875 72 0.18303
  14 11.745 0 0
  15 12.615 72 0.18303
  16 13.485 0 0
  17 14.355 72 0.18303
  18 15.225 0 0
  19 16.095 72 0.18303
  20 16.965 0 0
  21 17.835 72 0.18303
  22 18.705 0 0
  23 19.575 72 0.18303
  24 20.445 0 0
  25 21.315 72 0.18303
  26 22.185 0 0
  27 23.055 72 0.18303
  28 23.925 0 0
  29 24.795 72 0.18303
  30 25.665 0 0
  31 26.535 72 0.18303
  32 27.405 0 0
  33 28.275 72 0.18303
  34 29.145 0 0
  35 30.015 72 0.18303
  36 30.885 0 0
  37 31.755 72 0.18303
  38 32.625 0 0
  39 33.495 72 0.18303
  40 34.365 0 0
  41 35.235 72 0.18303
  42 36.105 0 0
  43 36.975 72 0.18303
  44 37.845 0 0
  45 38.715 72 0.18303
  46 39.585 0 0
  47 40.455 72 0.18303
  48 41.325 0 0
  49 42.195 0 0
10000 53 1728
  1 -1.25333 52 0.132189
  2 -0.383333 8 0.0203367
  3 0.486667 64 0.162694
  4 1.35667 3 0.00762627
  5 2.22667 67 0.17032
  6 3.09667 3 0.00762627
  7 3.96667 66 0.167778
  8 4.83667 5 0.0127104
  9 5.70667 55 0.139815
  10 6.57667 17 0.0432155
  11 7.44667 39 0.0991415
  12 8.31667 33 0.083889
  13 9.18667 17 0.0432155
  14 10.0567 55 0.139815
  15 10.9267 1 0.00254209
  16 11.7967 71 0.180488
  17 12.6667 0 0
  18 13.5367 70 0.177946
  19 14.4067 2 0.00508418
  20 15.2767 64 0.162694
  21 16.1467 8 0.0203367
  22 17.0167 45 0.114394
  23 17.8867 27 0.0686364
  24 18.7567 34 0.086431
  25 19.6267 38 0.0965994
  26 20.4967 13 0.0330472
  27 21.3667 59 0.149983
  28 22.2367 3 0.00762627
  29 23.1067 66 0.167778
  30 23.9767 3 0.00762627
  31 24.8467 63 0.160152
  32 25.7167 9 0.0228788
  33 26.5867 47 0.119478
  34 27.4567 25 0.0635522
  35 28.3267 21 0.0533839
  36 29.1967 51 0.129647
  37 30.0667 7 0.0177946
  38 30.9367 63 0.160152
  39 31.8067 6 0.0152525
  40 32.6767 65 0.165236
  41 33.5467 3 0.00762627
  42 34.4167 51 0.129647
  43 35.2867 21 0.0533839
  44 36.1567 35 0.0889731
  45 37.0267 37 0.0940573
  46 37.8967 10 0.0254209
  47 38.7667 62 0.15761
  48 39.6367 4 0.0101684
  49 40.5067 67 0.17032
  50 41.3767 1 0.00254209
  51 42.2467 68 0.172862
  52 43.1167 4 0.0101684
  53 43.9867 20 0.0508418
20000 53 1728
  1 -1.32385 39 0.0991415
  2 -0.453846 14 0.0355893
  3 0.416154 58 0.147441
  4 1.28615 6 0.0152525
  5 2.15615 64 0.162694
  6 3.02615 2 0.00508418
  7 3.89615 67 0.17032
  8 4.76615 5 0.0127104
  9 5.63615 49 0.124562
  10 6.50615 23 0.0584681
  11 7.37615 31 0.0788048
  12 8.24615 41 0.104226
  13 9.11615 18 0.0457576
  14 9.98615 54 0.137273
  15 10.8562 5 0.0127104
  16 11.7262 65 0.165236
  17 12.5962 2 0.00508418
  18 13.4662 71 0.180488
  19 14.3362 1 0.00254209
  20 15.2062 55 0.139815
  21 16.0762 17 0.0432155
  22 16.9462 30 0.0762627
  23 17.8162 42 0.106768
  24 18.6862 8 0.0203367
  25 19.5562 63 0.160152
  26 20.4262 5 0.0127104
  27 21.2962 67 0.17032
  28 22.1662 3 0.00762627
  29 23.0362 64 0.162694
  30 23.9062 7 0.0177946
  31 24.7762 56 0.142357
  32 25.6462 15 0.0381313
  33 26.5162 30 0.0762627
  34 27.3862 42 0.106768
  35 28.2562 10 0.0254209
  36 29.1262 62 0.15761
  37 29.9962 2 0.00508418
  38 30.8662 68 0.172862
  39 31.7362 3 0.00762627
  40 32.6062 63 0.160152
  41 33.4762 8 0.0203367
  42 34.3462 44 0.111852
  43 35.2162 28 0.0711785
  44 36.0862 18 0.0457576
  45 36.9562 54 0.137273
  46 37.8262 6 0.0152525
  47 38.6962 66 0.167778
  48 39.5662 0 0
  49 40.4362 70 0.177946
  50 41.3062 2 0.00508418
  51 42.1762 62 0.15761
  52 43.0462 10 0.0254209
  53 43.9162 33 0.083889
30000 54 1728
  1 -1.36238 40 0.101684
  2 -0.492377 17 0.0432155
  3 0.377623 55 0.139815
  4 1.24762 2 0.00508418
  5 2.11762 70 0.177946
  6 2.98762 1 0.00254209
  7 3.85762 66 0.167778
  8 4.72762 5 0.0127104
  9 5.59762 49 0.124562
  10 6.46762 23 0.0584681
  11 7.33762 24 0.0610101
  12 8.20762 48 0.12202
  13 9.07762 7 0.0177946
  14 9.94762 64 0.162694
  15 10.8176 2 0.00508418
  16 11.6876 69 0.175404
  17 12.5576 2 0.00508418
  18 13.4276 61 0.155067
  19 14.2976 11 0.027963
  20 15.1676 43 0.10931
  21 16.0376 29 0.0737206
  22 16.9076 23 0.0584681
  23 17.7776 49 0.124562
  24 18.6476 10 0.0254209
  25 19.5176 62 0.15761
  26 20.3876 1 0.00254209
  27 21.2576 69 0.175404
  28 22.1276 2 0.00508418
  29 22.9976 62 0.15761
  30 23.8676 10 0.0254209
  31 24.7376 50 0.127104
  32 25.6076 22 0.055926
  33 26.4776 27 0.0686364
  34 27.3476 45 0.114394
  35 28.2176 9 0.0228788
  36 29.0876 63 0.160152
  37 29.9576 2 0.00508418
  38 30.8276 66 0.167778
  39 31.6976 4 0.0101684
  40 32.5676 64 0.162694
  41 33.4376 8 0.0203367
  42 34.3076 50 0.127104
  43 35.1776 22 0.055926
  44 36.0476 24 0.0610101
  45 36.9176 48 0.12202
  46 37.7876 13 0.0330472
  47 38.6576 59 0.149983
  48 39.5276 1 0.00254209
  49 40.3976 66 0.167778
  50 41.2676 5 0.0127104
  51 42.1376 58 0.147441
  52 43.0076 14 0.0355893
  53 43.8776 31 0.0788048
  54 44.7476 1 0.00254209
40000 54 1728
  1 -1.48809 39 0.0991415
  2 -0.618087 8 0.0203367
  3 0.251913 64 0.162694
  4 1.12191 1 0.00254209
  5 1.99191 69 0.175404
  6 2.86191 2 0.00508418
  7 3.73191 62 0.15761
  8 4.60191 10 0.0254209
  9 5.47191 45 0.114394
  10 6.34191 27 0.0686364
  11 7.21191 26 0.0660943
  12 8.08191 46 0.116936
  13 8.95191 13 0.0330472
  14 9.82191 59 0.149983
  15 10.6919 6 0.0152525
  16 11.5619 63 0.160152
  17 12.4319 5 0.0127104
  18 13.3019 60 0.152525
  19 14.1719 10 0.0254209
  20 15.0419 41 0.104226
  21 15.9119 30 0.0762627
  22 16.7819 22 0.055926
  23 17.6519 51 0.129647
  24 18.5219 7 0.0177946
  25 19.3919 64 0.162694
  26 20.2619 5 0.0127104
  27 21.1319 64 0.162694
  28 22.0019 6 0.0152525
  29 22.8719 51 0.129647
  30 23.7419 19 0.0482997
  31 24.6119 27 0.0686364
  32 25.4819 45 0.114394
  33 26.3519 8 0.0203367
  34 27.2219 64 0.162694
  35 28.0919 3 0.00762627
  36 28.9619 62 0.15761
  37 29.8319 7 0.0177946
  38 30.7019 56 0.142357
  39 31.5719 16 0.0406734
  40 32.4419 30 0.0762627
  41 33.3119 42 0.106768
  42 34.1819 7 0.0177946
  43 35.0519 65 0.165236
  44 35.9219 3 0.00762627
  45 36.7919 67 0.17032
  46 37.6619 2 0.00508418
  47 38.5319 68 0.172862
  48 39.4019 4 0.0101684
  49 40.2719 60 0.152525
  50 41.1419 12 0.0305051
  51 42.0119 25 0.0635522
  52 42.8819 47 0.119478
  53 43.7519 5 0.0127104
  54 44.6219 28 0.0711785
50000 54 1728
  1 -1.46672 33 0.083889
  2 -0.596715 21 0.0533839
  3 0.273285 51 0.129647
  4 1.14328 8 0.0203367
  5 2.01328 64 0.162694
  6 2.88328 0 0
  7 3.75328 66 0.167778
  8 4.62328 7 0.0177946
  9 5.49328 59 0.149983
  10 6.36328 12 0.0305051
  11 7.23328 20 0.0508418
  12 8.10328 52 0.132189
  13 8.97328 13 0.0330472
  14 9.84328 58 0.147441
  15 10.7133 2 0.00508418
  16 11.5833 68 0.172862
  17 12.4533 3 0.00762627
  18 13.3233 55 0.139815
  19 14.1933 17 0.0432155
  20 15.0633 27 0.0686364
  21 15.9333 44 0.111852
  22 16.8033 13 0.0330472
  23 17.6733 59 0.149983
  24 18.5433 3 0.00762627
  25 19.4133 68 0.172862
  26 20.2833 2 0.00508418
  27 21.1533 63 0.160152
  28 22.0233 9 0.0228788
  29 22.8933 38 0.0965994
  30 23.7633 34 0.086431
  31 24.6333 21 0.0533839
  32 25.5033 51 0.129647
  33 26.3733 12 0.0305051
  34 27.2433 59 0.149983
  35 28.1133 2 0.00508418
  36 28.9833 69 0.175404
  37 29.8533 2 0.00508418
  38 30.7233 64 0.162694
  39 31.5933 8 0.0203367
  40 32.4633 44 0.111852
  41 33.3333 28 0.0711785
  42 34.2033 27 0.0686364
  43 35.0733 45 0.114394
  44 35.9433 6 0.0152525
  45 36.8133 65 0.165236
  46 37.6833 2 0.00508418
  47 38.5533 68 0.172862
  48 39.4233 3 0.00762627
  49 40.2933 59 0.149983
  50 41.1633 13 0.0330472
  51 42.0333 32 0.0813469
  52 42.9033 40 0.101684
  53 43.7733 14 0.0355893
  54 44.6433 25 0.0635522
60000 54 1728
  1 -1.35728 41 0.104226
  2 -0.487283 12 0.0305051
  3 0.382717 58 0.147441
  4 1.25272 4 0.0101684
  5 2.12272 69 0.175404
  6 2.99272 1 0.00254209
  7 3.86272 68 0.172862
  8 4.73272 4 0.0101684
  9 5.60272 50 0.127104
  10 6.47272 22 0.055926
  11 7.34272 28 0.0711785
  12 8.21272 44 0.111852
  13 9.08272 14 0.0355893
  14 9.95272 58 0.147441
  15 10.8227 4 0.0101684
  16 11.6927 68 0.172862
  17 12.5627 1 0.00254209
  18 13.4327 64 0.162694
  19 14.3027 7 0.0177946
  20 15.1727 55 0.139815
  21 16.0427 17 0.0432155
  22 16.9127 32 0.0813469
  23 17.7827 40 0.101684
  24 18.6527 11 0.027963
  25 19.5227 61 0.155067
  26 20.3927 3 0.00762627
  27 21.2627 69 0.175404
  28 22.1327 1 0.00254209
  29 23.0027 65 0.165236
  30 23.8727 6 0.0152525
  31 24.7427 50 0.127104
  32 25.6127 22 0.055926
  33 26.4827 30 0.0762627
  34 27.3527 42 0.106768
  35 28.2227 13 0.0330472
  36 29.0927 58 0.147441
  37 29.9627 2 0.00508418
  38 30.8327 66 0.167778
  39 31.7027 6 0.0152525
  40 32.5727 58 0.147441
  41 33.4427 13 0.0330472
  42 34.3127 37 0.0940573
  43 35.1827 35 0.0889731
  44 36.0527 21 0.0533839
  45 36.9227 51 0.129647
  46 37.7927 3 0.00762627
  47 38.6627 69 0.175404
  48 39.5327 0 0
  49 40.4027 64 0.162694
  50 41.2727 8 0.0203367
  51 42.1427 53 0.134731
  52 43.0127 19 0.0482997
  53 43.8827 31 0.0788048
  54 44.7527 0 0
70000 54 1728
  1 -1.38499 45 0.114394
  2 -0.514993 8 0.0203367
  3 0.355007 64 0.162694
  4 1.22501 5 0.0127104
  5 2.09501 66 0.167778
  6 2.96501 2 0.00508418
  7 3.83501 59 0.149983
  8 4.70501 12 0.0305051
  9 5.57501 46 0.116936
  10 6.44501 26 0.0660943
  11 7.31501 21 0.0533839
  12 8.18501 51 0.129647
  13 9.05501 9 0.0228788
  14 9.92501 63 0.160152
  15 10.795 2 0.00508418
  16 11.665 69 0.175404
  17 12.535 1 0.00254209
  18 13.405 62 0.15761
  19 14.275 10 0.0254209
  20 15.145 51 0.129647
  21 16.015 21 0.0533839
  22 16.885 25 0.0635522
  23 17.755 47 0.119478
  24 18.625 12 0.0305051
  25 19.495 60 0.152525
  26 20.365 2 0.00508418
  27 21.235 69 0.175404
  28 22.105 1 0.00254209
  29 22.975 66 0.167778
  30 23.845 6 0.0152525
  31 24.715 54 0.137273
  32 25.585 18 0.0457576
  33 26.455 28 0.0711785
  34 27.325 44 0.111852
  35 28.195 11 0.027963
  36 29.065 60 0.152525
  37 29.935 3 0.00762627
  38 30.805 68 0.172862
  39 31.675 2 0.00508418
  40 32.545 54 0.137273
  41 33.415 18 0.0457576
  42 34.285 40 0.101684
  43 35.155 32 0.0813469
  44 36.025 19 0.0482997
  45 36.895 53 0.134731
  46 37.765 2 0.00508418
  47 38.635 68 0.172862
  48 39.505 2 0.00508418
  49 40.375 65 0.165236
  50 41.245 7 0.0177946
  51 42.115 45 0.114394
  52 42.985 27 0.0686364
  53 43.855 19 0.0482997
  54 44.725 8 0.0203367
80000 54 1728
