step	temp	press	pressGiga	vol	ke	pe	density(1600)
0	2584.405768	17097.95772	1.709795772	21823.99415	576.9227672	-6814.753722	7.748490599
1000	1613.332441	-5103.492759	-0.510349276	21391.21135	360.1478636	-7028.637521	7.905256546
2000	1580.773537	1695.824753	0.169582475	21260.85197	352.8796656	-7038.614223	7.953727055
3000	1614.166054	5322.945569	0.532294557	21166.09713	360.333953	-7043.046059	7.989333718
4000	1637.881882	-586.0423782	-0.058604238	21204.17071	365.6280912	-7053.629199	7.974988309
5000	1580.208617	1829.962806	0.182996281	21146.50325	352.7535573	-7059.147151	7.99673646
6000	1633.793676	6377.321061	0.637732106	21002.46958	364.7154716	-7080.032934	8.051577597
7000	1584.804976	6010.131419	0.601013142	20964.95377	353.7796129	-7084.238277	8.065985519
8000	1636.654029	4406.314155	0.440631415	20876.39877	365.3539947	-7122.099032	8.100200393
9000	1561.305367	4186.808576	0.418680858	20816.72824	348.5337419	-7138.587207	8.123419374
10000	1609.29479	16713.42117	1.671342117	20563.71614	359.2465297	-7172.697046	8.223368402
11000	1584.014125	19908.1303	1.99081303	20479.60327	353.6030694	-7187.939094	8.257143034
12000	1607.565966	15210.00507	1.521000507	20581.59992	358.8606004	-7172.226628	8.216222944
13000	1621.204133	16636.93058	1.663693058	20499.3855	361.9050794	-7197.028119	8.249174762
14000	1600.593453	19206.72757	1.920672757	20425.75412	357.3041106	-7213.736601	8.278911637
15000	1612.311669	14829.54217	1.482954217	20499.03492	359.9199946	-7201.154924	8.249315841
16000	1630.105959	11330.58523	1.133058523	20576.06771	363.8922543	-7190.423514	8.218432009
17000	1631.174784	10919.48727	1.091948727	20565.25125	364.1308504	-7195.932647	8.222754562
18000	1600.614427	15363.24054	1.536324054	20466.67593	357.3087925	-7208.462464	8.262358486
19000	1617.356539	17045.38519	1.704538519	20457.48919	361.0461722	-7206.818572	8.266068819
20000	1548.97746	15772.68436	1.577268436	20444.89904	345.7817553	-7214.997954	8.271159139
21000	1592.050441	10839.76152	1.083976152	20538.74004	355.3970345	-7203.54228	8.233368416
22000	1619.061364	13551.63227	1.355163227	20526.1983	361.4267442	-7198.96187	8.238399096
23000	1583.330432	18192.16434	1.819216434	20432.6454	353.4504472	-7208.400215	8.276119427
24000	1604.058587	13479.82849	1.347982849	20529.15714	358.0776402	-7197.006118	8.237211706
25000	1575.052643	18128.44231	1.812844231	20445.71908	351.6025776	-7204.685401	8.270827397
26000	1592.849557	19339.08304	1.933908304	20414.74278	355.5754231	-7211.142188	8.283377134
27000	1553.901068	14139.58986	1.413958986	20506.64313	346.8808634	-7200.978733	8.246255249
