step temp press pressGiga vol ke pe density
0 2600.0000000000027285 -34667.460092449953663 -3.466746009245 26980.744790434488095 677.19389965500079143 -7765.3548960395255563 7.3121350297215474967
1000 2643.0925673529786764 298875.96226084145019 29.8875962260841 21583.298933133701212 688.41775493650368389 -7966.8846798084223337 9.1407180024387955086
2000 2552.8302797541805376 302674.61268639808986 30.2674612686398 21574.851503124951705 664.90811242465315445 -7957.6851192678777807 9.1442969645254699174
3000 2659.565475115017307 299935.17681877757423 29.9935176818778 21621.368647692950617 692.70827518497753772 -7955.8943454363243291 9.1246235298413562731
4000 2549.2264912226673914 303185.91624219715595 30.3185916242197 21558.672274200693209 663.96947257496572092 -7958.8342091416543553 9.1511595241515344412
5000 2535.8298324624961424 300011.55877734848764 30.0011558777348 21526.706350345037208 660.4801896564473509 -7986.728440113747638 9.1647484710056961177
6000 2569.9598776064781305 310276.87560501531698 31.0276875605015 21440.409218604687339 669.36967364354518395 -7975.9095464566853479 9.2016363633078288586
7000 2626.3607018902075652 289424.97796155378455 28.9424977961554 21594.518413632802549 684.0597867744895666 -8012.7938047345778614 9.1359689218891961815
8000 2570.9578061459769742 302832.9395154582453 30.2832939515458 21512.151347258615715 669.62959330479145592 -7979.4395980648205295 9.1709492893305792904
9000 2614.2290202059984949 300530.21935293101706 30.0530219352931 21550.193329001198435 680.89997876329618975 -7978.6159701696888078 9.1547600570531439956
10000 2573.0187881243987249 303269.07604664243991 30.3269076046642 21489.281851761494181 670.16639500597841561 -7991.3586982541346515 9.1807092703724535454
11000 2554.9020759203312991 306147.19285879452946 30.6147192858795 21477.649643613156513 665.44773078044011072 -7983.8058155197168162 9.1856815053681071248
12000 2656.277281970529657 290182.94868866557954 29.0182948688666 21598.649806537599943 691.85183505484894795 -8007.4145970382505766 9.1342213924130284397
13000 2554.122227111477514 303135.85269547085045 30.3135852695471 21437.600504857306078 665.24461198966741904 -8011.0537490326496481 9.2028419442470834611
14000 2615.7333229943487822 296742.56335671216948 29.6742563356712 21458.481104657705146 681.29178825233645966 -8034.5753529124822307 9.193886936726890724
15000 2611.1054968154589915 295805.12941288534785 29.5805129412885 21502.646950006663246 680.08642838425657828 -8021.3167110571594094 9.1750029458606796595
16000 2583.7363405961623357 305817.55608320370084 30.5817556083204 21423.021319667252101 672.95788006486714039 -8005.8704496543696223 9.2091048300920785863
17000 2584.0866840531307389 291360.05221457110019 29.1360052214571 21588.429908286783757 673.04913023865299238 -8010.2405589972149755 9.1385455055434174909
18000 2560.5537446723346875 314689.96708020358346 31.4689967080204 21348.638833054254064 666.91975985802753257 -7994.9192845644183762 9.2411910029904387187
19000 2545.1898452164009541 285650.21037269185763 28.5650210372692 21573.765895944095973 662.91809101707713126 -8033.3720096851602648 9.1447571120257471478
20000 2618.5993887252934655 305141.7072113964241 30.5141707211396 21439.628165376805555 682.0382814173387942 -8004.3549993348697171 9.2019715821711365322
21000 2524.4143020206670371 293990.53085160406772 29.3990530851604 21470.379213842548779 657.50690981931950319 -8038.2068958305108026 9.1887920164408178891
22000 2567.5369494645724444 302037.2271342423046 30.2037227134242 21460.126941991882632 668.73859973700643877 -8008.1721500066560111 9.1931818317474292002
23000 2590.8801284085911902 301641.98442802554928 30.1641984428026 21434.293054422210844 674.81854526756194446 -8022.7475083041617836 9.2042620024461268002
24000 2553.1967319396403582 296834.9758357287501 29.6834975835729 21441.375661154059344 665.00355826484883437 -8042.4609059474951209 9.2012216113326807942
25000 2565.4888943716109679 302004.71021867083618 30.2004710218671 21310.55314526217262 668.20516496196376011 -8076.4158336716882332 9.2577066285102365129
26000 2653.0927942218891076 298063.77760172949638 29.8063777601729 21240.680951927286515 691.02240594834677267 -8135.2099418283487466 9.2881602786944714722
27000 2609.6476017339114151 296017.53871871496085 29.6017538718715 21250.414622429514566 679.70670620904070347 -8134.924026929651518 9.2839058726825864909
28000 2658.9660276132394756 302538.95974794391077 30.2538959747944 21208.670132828712667 692.55214357291310989 -8129.5883726475540243 9.3021791500606489933
29000 2620.978693439264589 293113.61303318128921 29.3113613033181 21278.997876855672075 682.65799320107782933 -8140.5396680655176169 9.2714351611780756457
30000 2589.4762080371547199 299519.64717340882635 29.9519647173409 21242.741786029015202 674.45288130173958052 -8123.2937042733028647 9.2872592011576138304
31000 2609.9225841589613992 293339.10030468838522 29.3339100304688 21300.753370426627953 679.77832790933155138 -8127.4626880847335997 9.2619657943188453686
32000 2620.2876454083157114 306350.084139325656 30.6350084139326 21169.548923805570666 682.47800338918284524 -8123.6935358173323038 9.3193695255481028283
33000 2600.9572608893313372 294319.71882276085671 29.4319718822761 21234.976147627701721 677.44322705293598119 -8150.5110775939483574 9.2906555551819387517
34000 2663.4465453718348726 299021.07763552531833 29.9021077635525 21238.142128514908109 693.71913560884263461 -8130.7028941997577931 9.2892705923288172443
35000 2567.7311250205752913 305648.3993087723502 30.5648399308772 21205.774740434044361 668.78917454546296995 -8107.8446223561104489 9.3034492502618739707
36000 2465.4703091293868056 294048.58356590621406 29.4048583565906 21218.44853443588363 642.15440504728769611 -8151.1257381148316199 9.2978922935827359453
37000 2589.6505931721339948 305474.87089494121028 30.5474870894941 21162.480933765553345 674.49830151312369253 -8135.5280558370850486 9.3224820722855099575
38000 2569.8943149986143908 297943.15535829967121 29.79431553583 21194.973579193800106 669.35259725966409405 -8152.8357049365231433 9.308190376976046565
39000 2597.5489614877697022 303165.83199775166577 30.3165831997752 21204.536043592932401 676.55550414411470683 -8124.0499680040284147 9.3039927261094028665
40000 2604.2706062044021564 299182.79315815295558 29.9182793158153 21227.950371933005954 678.30621829709616577 -8133.1298869750171434 9.2937304663647779535
41000 2578.603487792827309 299288.84582273470005 29.9288845822735 21212.397073808988353 671.62098137015732391 -8137.8742839971082503 9.3005447910318430615
42000 2554.885462993684996 303614.59615930140717 30.3614596159301 21157.082360433225404 665.44340379098605354 -8139.3958746707767204 9.3248608550613738544
43000 2652.4890858807993936 299264.62303303834051 29.9264623033038 21220.727814143025171 690.86516456151730381 -8138.6457621706103964 9.2968936239136468203
44000 2562.5181313974408113 302271.91865401249379 30.2271918654012 21166.482850131986197 667.43140243756795371 -8146.4986216693996539 9.3207194840536811142
45000 2561.9296472414735035 301175.58457391068805 30.1175584573911 21222.531267006077542 667.27812632969698825 -8124.8226355927372424 9.296103590471707534
46000 2572.0044955770754314 303119.95345986681059 30.3119953459867 21179.023256964086613 669.9022131884735245 -8135.2889933049591491 9.3152005508677753198
47000 2624.8643566438317976 299003.5266369949677 29.9003526636995 21210.40719305656603 683.67004990040356915 -8145.3726237227492675 9.3014173332182448206
48000 2599.9922822818884924 311391.81086155766388 31.1391810861558 21098.746651960012969 677.19188950437523999 -8134.1188981658888224 9.3506430673115783492
49000 2604.2643912345092758 289186.54200545098865 28.9186542005451 21301.191122090825957 678.30459955105845893 -8145.3086564906861895 9.2617754556229030527
50000 2597.1097984736670696 307029.01291640801355 30.7029012916408 21157.285075625346508 676.44112010022843151 -8125.1898334491288551 9.3247715103768840095
51000 2489.8646483746874765 299212.54768238094402 29.9212547682381 21218.859447795766755 648.50813494076157895 -8131.3932277722105937 9.2977122354522983017
52000 2620.7450320243297028 298558.36017972207628 29.8558360179722 21234.436945246168762 682.59713393770152834 -8134.2019859627598635 9.2908914711901804395
53000 2542.5065125752762469 307372.12660430424148 30.7372126604304 21167.876982960264286 662.21919236503299544 -8117.7862116736250755 9.3201056142250546799
54000 2481.9583700142511589 291916.41516980179586 29.1916415169802 21279.945351394624595 646.44887206589169182 -8140.0090777561181312 9.2710223570749761279
55000 2662.09714079974583 317117.08051320450613 31.7117080513204 21080.184031325585238 693.36767078407910958 -8119.0134406916013177 9.3588769821430872753
56000 2522.6161481844433183 295393.0505933407112 29.5393050593341 21265.243435023185157 657.03856412373022522 -8130.060454338301497 9.2774319613566262888
57000 2675.5503409860543798 302354.25492229260271 30.2354254922293 21205.17869170373524 696.8716804367735449 -8132.7518452883541613 9.3037107575659963032
58000 2592.1081682713079317 293782.86822210554965 29.3782868222106 21247.833264052162122 675.13839953816386696 -8147.5462979291605734 9.285033756542610206
59000 2618.4693284663503619 306555.98133769573178 30.6555981337696 21164.270483735363086 682.00440602736034634 -8126.3123749460510226 9.3216938075766542227
60000 2635.6318233310412324 297234.83677079010522 29.723483677079 21215.256914843987033 686.47453557552535131 -8152.9904947329450806 9.2992910668960480081
61000 2651.0521110623176355 303224.15206573298201 30.3224152065733 21186.114169263088115 690.49089126111971382 -8133.7502883817687689 9.3120827884680217323
62000 2534.9907166436937587 296112.92314486199757 29.6112923144862 21239.606212127466279 660.26163422814090609 -8135.4015861622656303 9.2886302664813875651
63000 2742.1672267377493881 299108.1343720430159 29.9108134372043 21229.474084312772902 714.22266068487431312 -8142.2425207317646709 9.2930634233608113703
64000 2589.7035611228120615 297210.83171965688234 29.7210831719657 21217.711653234444384 674.51209750276836985 -8146.0441236795177247 9.2982152050331361437
65000 2679.8006979921651691 299110.46864146483131 29.9110468641465 21215.950235421139951 697.97872498904052918 -8143.1888765611101917 9.2989871733735753878
66000 2607.4908520465651236 296697.71647757245228 29.6697716477572 21234.47712527726253 679.14496092775084435 -8144.373793513765122 9.2908738908981849391
67000 2579.1225234032981461 303883.59630301903235 30.3883596303019 21184.24510983912478 671.75616896597057348 -8129.8837611891922279 9.3129043818739827287
68000 2642.8738158071273574 301133.16728661052184 30.1133167286611 21210.919331953686196 688.36077908558422678 -8132.623254855495361 9.3011927499486493076
69000 2526.1003519506330122 287422.70613043045159 28.742270613043 21273.781542801916657 657.94605702204512454 -8165.873000867058181 9.2737085183083589612
70000 2551.034202741936042 309124.01079859712627 30.9124010798597 21130.823830448382068 664.44030765695993068 -8122.8623051961540114 9.3364485309765132826
71000 2594.2083679081129048 298279.18302541022422 29.827918302541 21197.790976892909384 675.68541583897228975 -8149.5440385539513954 9.3069532257002585141
72000 2648.8709394798829635 298012.93713995401049 29.8012937139954 21241.841765770015627 689.92278507276364508 -8133.3471203557528497 9.2876527038267226999
73000 2584.7499213872019936 298622.91970751137706 29.8622919707511 21202.279968842565722 673.22187649890543071 -8148.2076716095407392 9.3049827377071085976
74000 2602.2896601759439363 296550.27459778991761 29.655027459779 21251.334839277449646 677.79026269478163158 -8134.8861425111226708 9.2835038646834053822
75000 2580.6793798834114568 305799.09556136879837 30.5799095561369 21169.593233754694666 672.1616665471133274 -8125.5500900951719814 9.3193500192314253638
76000 2530.45307897005614 304431.5146219386952 30.4431514621939 21169.631123239978479 659.0797647852823502 -8130.0294672042145976 9.3193333394237640732
77000 2643.2931577577346616 301849.91926451510517 30.1849919264515 21192.565082899014669 688.47000055128444274 -8136.7452909188405101 9.3092482358027819345
78000 2539.6463915647764225 299664.04563226649771 29.9664045632267 21202.755939637852862 661.47424755711540456 -8135.6355049492995022 9.3047738544823808127
79000 2580.5355277084877343 303910.24844593001762 30.391024844593 21185.900502094791591 672.12419892584011905 -8129.8635699488431783 9.3121767040587304365
80000 2668.9310571183764296 298888.59816114942078 29.8888598161149 21257.709190819761716 695.14762710782110844 -8124.8213674644885032 9.2807201067230948865
81000 2632.650121478931851 295633.44121397513663 29.5633441213975 21238.734084071213147 685.69792391981820856 -8148.1180577690656719 9.2890116863450895579
82000 2537.12690200347879 305157.68719737796346 30.5157687197378 21147.872584613414801 660.81802334128656184 -8138.3009175586321362 9.3289217778649540236
83000 2661.1000908776832148 297887.23476824670797 29.7887234768247 21260.282737547040597 693.10797996682049416 -8126.801939345212304 9.2795966801368958699
