step temp press pressGiga vol ke pe density
0 2049.9999999999990905 -27689.200528471414145 -2.76892005284714 48544.580608263000613 726.84918435674978809 -9632.59963787248671 5.5316024782829398276
1000 1993.8269270872451671 98793.096508223985438 9.8793096508224 32504.876035411842167 706.93242717165344402 -10966.958854039137805 8.261201245847829
2000 2020.1216924695459056 100806.90659850994416 10.080690659851 32257.131228120619198 716.25551437700823953 -11017.263964876776299 8.3246498425681227928
3000 2110.009801898902424 99241.297329623877886 9.92412973296239 32216.704744384755031 748.12629438778787971 -11043.198670186258823 8.3350958619278774364
4000 2080.4468475487210526 98239.313683357016998 9.8239313683357 32139.469856516225263 737.64443621383406935 -11071.027295631060042 8.3551260676886887069
5000 2094.9845979594510936 98509.801358746815822 9.85098013587468 32153.788340636408975 742.79894939842984058 -11067.143250634335345 8.3514054255467762289
6000 2009.6618125031361615 100865.41001767675334 10.0865410017677 32089.66243968758863 712.54685329307926622 -11063.848702690334903 8.3680943327021140021
7000 2055.803521640505096 101849.8297163653624 10.1849829716365 32107.08646719733224 728.90688434250512273 -11056.958104717210517 8.3635530951779273323
8000 2125.2291385233988876 96580.35724670435593 9.65803572467044 32195.768846337992727 753.52247117411275212 -11067.845244743619332 8.3405159131777217851
9000 2044.3039059694424395 101756.89825865364401 10.1756898258654 31992.842989096672682 724.82957396644269465 -11097.482866782665951 8.3934185683776139086
10000 2042.3223240763202284 95594.449946343229385 9.55944499463432 32158.761393019442039 724.12698314558815582 -11082.400340577038151 8.3501139586228596556
11000 2050.1683939229005773 104767.21004169991647 10.47672100417 31900.480832424858818 726.90889020334077486 -11101.988150236700676 8.4177202158949970823
12000 2060.8595823089585792 94885.122998870821903 9.48851229988708 32025.985429530897818 730.69956413417526164 -11126.485577262319566 8.3847325475975793552
13000 2119.113358462330325 99671.930941132915905 9.96719309411329 32002.878960477864894 751.35405666236010802 -11111.915895616935813 8.3907864267928946589
14000 2057.9901199060627732 101438.67212364105217 10.1438672123641 31994.993778026229847 729.68216588681559642 -11091.775137140051811 8.3928543403654671806
15000 2084.2680933334390829 93749.678223098715534 9.37496782230987 32070.310892555364262 738.99929932693112278 -11124.27877933974014 8.3731437247216895514
16000 2076.5567490409152924 104701.14223897662305 10.4701142238977 31877.901916042061202 736.26516063946041868 -11117.848107417872598 8.4236824339038562925
17000 2031.7153026809337462 95910.656820367643377 9.59106568203676 31996.855921476471849 720.36615151159230663 -11128.553633217563402 8.3923658955389797143
18000 2053.1444957467456334 106561.01319532709022 10.6561013195327 31923.346153588401648 727.96409858540152982 -11086.727654510039429 8.4116909645979909271
19000 2022.1257882369322942 97154.788227335491683 9.71547882273355 32004.367619619159086 716.96608773012906113 -11115.014442800005781 8.3903961356593423915
20000 2093.3229597650583855 104665.64520291707595 10.4665645202917 31903.692925038769317 742.20979800023940243 -11108.288676400552504 8.4168727122221458359
21000 2033.5747219269642301 93214.936730463232379 9.32149367304632 32045.908487303808215 721.02542827371655676 -11132.202996695308684 8.3795197288996057239
22000 2097.0476572762399883 101217.43414463143563 10.1217434144631 31940.637410437851941 743.53042890169206203 -11121.354919075303769 8.4071372449230192814
23000 2069.8475839824814102 96224.401305266452255 9.62244013052664 32028.05775071851167 733.88635520022262426 -11120.148296049810597 8.3841900276906251577
24000 2102.2365064468990568 103003.91180847032228 10.300391180847 31936.835688659441075 745.37019026142070288 -11109.36899830076436 8.4081380202368194432
25000 2037.7164017689835873 95316.702136757900007 9.53167021367579 32072.855843561981601 722.49390467129626359 -11112.318175940046785 8.3724793236264218876
26000 2066.1610977648833796 106096.40807343590131 10.6096408073436 31730.622726971010707 732.579272517098957 -11155.249252576168146 8.4627813551110619983
27000 2052.477345504477853 92938.762345336843282 9.29387623453368 31986.792234994503815 727.72755341006700291 -11159.91320245904717 8.3950063021978955646
28000 2083.8747415490643107 104593.470674691358 10.4593470674691 31778.248222556601831 738.85983229101020697 -11154.757036712113404 8.4500983351646201669
29000 2110.7074511876890028 93590.784785609896062 9.35907847856099 31968.122720025563467 748.37365332267643225 -11165.080167498326773 8.3999090203586046499
30000 2069.3665158872895518 101457.39746188266145 10.1457397461883 31772.43089391452304 733.71578741846155935 -11172.300308643649259 8.4516454940596279499
31000 2070.7154741754116003 98009.669761188313714 9.80096697611883 31797.913618645070528 734.19407484843850398 -11191.081034926482971 8.4448723781178625103
32000 2035.8621027377423616 99805.692215647271951 9.98056922156473 31783.173241669286654 721.83644333548591021 -11182.960545855959936 8.4487889348889364527
33000 2078.315556908520648 103905.62532699626172 10.3905625326996 31687.926341287398827 736.88876457312346702 -11190.24225538155406 8.4741841264001092071
34000 2067.8446033771560906 94160.925898843473988 9.41609258988435 31956.175154566521087 733.1761772396065453 -11164.836367971214713 8.4030495233250981357
35000 1989.6813659552192348 104941.08640694405767 10.4941086406944 31649.565446788674308 705.46257462164658136 -11189.719277177920958 8.4844552716321715025
36000 2061.9013218477512055 95639.559819103160407 9.56395598191032 31925.660136857419275 731.06892390689893091 -11160.874789754636367 8.4110812822273590683
37000 2045.7545267742511896 106872.44048982123786 10.6872440489821 31767.255216304591158 725.3439069170701714 -11144.499119941225217 8.4530224777509417322
38000 2088.2498433941768781 95342.562363568154979 9.53425623635682 31923.123636094438552 740.41107092886272767 -11168.562956376958027 8.4117495975943974429
39000 2029.3421370462540381 103485.08047386807448 10.3485080473868 31795.356319086982694 719.52472053309952571 -11154.804917462395679 8.4455515989507397023
40000 1989.29763052792282 99226.071540471035405 9.9226071540471 31830.569139249830187 705.3265171668469975 -11165.378526122856783 8.4362086403523903755
41000 2059.6622147175071404 106263.20906460282276 10.6263209064603 31658.246737252633466 730.27502478918904671 -11184.220736603921978 8.4821286734079297531
42000 2050.8328491800116353 95104.552948016673326 9.51045529480167 31886.783409027797461 727.1444798431811023 -11177.568239454318245 8.4213361678822540313
43000 2091.4886354986742845 103143.90958650413086 10.3143909586504 31724.937928888288297 741.55941892859686959 -11184.819490289935857 8.4642978026240527356
44000 2000.3018060197566683 98778.029655596677912 9.87780296555967 31873.689874597479502 709.22816398672887317 -11151.556409484262986 8.4247956059171116294
45000 2051.7934809436928845 104874.3003751373908 10.4874300375137 31725.227849084167246 727.48508199630259696 -11169.771555809758866 8.4642204518517072387
46000 2020.8316224753154984 99115.300967681439943 9.91153009676814 31834.153631814038818 716.50722757000539787 -11169.050192840230011 8.4352587320403564775
47000 2068.1210173580957417 100550.42120160046034 10.05504212016 31881.42187644877049 733.27418274038245727 -11146.567516182245527 8.4227523929301213457
48000 2043.6435379212873613 94699.665236313754576 9.46996652363138 31938.066727033779898 724.59543348977115329 -11163.537615979603288 8.407813932349842645
49000 2036.4684819224180501 102816.09881287511962 10.2816098812875 31764.964255531755043 722.05144148953104377 -11169.440627174129986 8.4536321287725098017
50000 2048.1842477154241351 97876.181901244490291 9.78761819012445 31898.935202288259461 726.20539017770727241 -11152.296429560552497 8.4181280878808362189
51000 2011.5373705227475511 106263.73683329854975 10.6263736833299 31692.833284456897672 713.21185222808821891 -11169.645499990236203 8.4728720840357407695
52000 2049.4893253392019687 96820.555925981214386 9.68205559259812 31813.089085852509015 726.6681192539829226 -11185.965439997122303 8.4408440084270335291
53000 2059.6125450958011243 106571.4142508708901 10.6571414250871 31811.347696090222598 730.25741389942106707 -11127.186028089854517 8.4413060699367097328
54000 2022.4463623826984531 90593.283338088789606 9.05932833380888 31968.1229047404413 717.07975068445887246 -11172.725586285494501 8.3999089718231250146
55000 2017.7223329604987612 108167.9536460058589 10.8167953646006 31706.021484322016477 715.40479608328655559 -11155.926572577149273 8.4693477714526839151
56000 2060.8766166852396964 97753.526653106222511 9.77535266531062 31859.720090283964964 730.70560385247085833 -11170.893754013688522 8.4284896929074104577
57000 2055.50126206189816 102357.03990606317529 10.2357039906063 31699.669094618075178 728.79971501168836312 -11196.011148655754369 8.4710449689036053655
58000 2048.2617344907889674 99263.969603722667671 9.92639696037227 31833.118324567716627 726.23286393354737811 -11166.914059739176082 8.4355330716259668833
59000 2086.3986365983391806 103741.08333638533077 10.3741083336385 31743.506989346911723 739.75470597782350524 -11173.148280445539058 8.4593464260263289134
60000 2005.9349769018238021 102631.47244870215945 10.2631472448702 31746.477041156944324 711.22546430915463134 -11171.897853347418277 8.4585550091666963368
61000 2091.838815944102862 99990.2090125457471 9.99902090125457 31782.533306971941784 741.68357910963959512 -11185.603176675344002 8.4489590494967856671
62000 2036.4112598990641345 96402.14953080896521 9.6402149530809 31780.283360043482389 722.0311528158715646 -11204.19242065220169 8.4495572099740456906
63000 2042.7576903031331312 108259.18801877139776 10.8259188018771 31643.988544402505795 724.28134684649319297 -11175.581263996073176 8.4859505628715581338
64000 2069.8414051100198776 96845.154451178808813 9.68451544511788 31839.832296234988462 733.88416441563288117 -11179.623682447901956 8.4337542956099920133
65000 1987.7484035930499431 102946.93939766472613 10.2946939397665 31695.52166559590114 704.7772223697758136 -11184.799925871686355 8.4721534238494768942
66000 2025.9046195830057968 103523.43889567445149 10.3523438895674 31736.164636002122279 718.30591235535598571 -11165.658845810972707 8.461303546908396811
67000 2013.1882714472105818 97628.371933729911689 9.76283719337299 31840.377134377180482 713.79719661364913463 -11175.116382068721578 8.4336099810184048664
68000 2051.9055686337978841 104998.74627957619668 10.4998746279576 31643.831768126088718 727.52482387246311646 -11196.87381067876413 8.4859926056854888543
69000 2036.9139123607844795 99338.147329814644763 9.93381473298146 31712.160076656749879 722.20937356309900679 -11208.637182919082989 8.4677083412409182017
70000 2087.1193148486254358 97394.530219674124965 9.73945302196741 31652.312826286681229 740.01023007460605641 -11246.396452515411511 8.4837188319731495767
71000 2020.8552596815868583 102332.22525940973719 10.233222525941 31471.456564513697231 716.51560839151693472 -11274.100966190439067 8.5324720147417476568
72000 2016.6822963449724284 100850.81359351958963 10.085081359352 31401.462182980474608 715.03604010002004543 -11310.885773016179883 8.5514910367905070387
73000 2123.6073892643730687 105383.55246102808451 10.5383552461028 31301.294401500694221 752.94746281989125691 -11324.20982642249146 8.5788568023883176039
74000 1979.0055147092907646 94628.831834479526151 9.46288318344795 31506.504418657532369 701.67733863607725198 -11309.706022912341723 8.5229804878276436142
75000 2070.2878676707441628 106172.96709079455468 10.6172967090795 31253.805374903560732 734.04246243910040448 -11330.887072820743924 8.59189206494193769
76000 2046.7051550732348915 97162.488305019942345 9.71624883050199 31483.492282712988526 725.68096223596899108 -11303.399725961337026 8.5292101647604745551
77000 2045.1761801061429651 100801.8782683272002 10.0801878268327 31352.016257675950328 725.13884798829451483 -11329.543576847001532 8.56497777345114919
78000 2074.4302696105983159 102126.06514549952408 10.21260651455 31360.067573082189483 735.51119486410561876 -11320.062833287647663 8.5627788197231069489
79000 1991.4490622898804304 100506.08886677914415 10.0506088866779 31342.466425413422257 706.08933005532412608 -11327.523458587776986 8.567587462808665677
