# Chunk-averaged data for fix 14 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 56 1728
  1 -2.27372 30 0.0762627
  2 -1.40372 28 0.0711785
  3 -0.533724 34 0.086431
  4 0.336276 33 0.083889
  5 1.20628 28 0.0711785
  6 2.07628 31 0.0788048
  7 2.94628 27 0.0686364
  8 3.81628 33 0.083889
  9 4.68628 34 0.086431
  10 5.55628 28 0.0711785
  11 6.42628 30 0.0762627
  12 7.29628 39 0.0991415
  13 8.16628 28 0.0711785
  14 9.03628 29 0.0737206
  15 9.90628 35 0.0889731
  16 10.7763 30 0.0762627
  17 11.6463 35 0.0889731
  18 12.5163 24 0.0610101
  19 13.3863 40 0.101684
  20 14.2563 21 0.0533839
  21 15.1263 40 0.101684
  22 15.9963 26 0.0660943
  23 16.8663 37 0.0940573
  24 17.7363 34 0.086431
  25 18.6063 24 0.0610101
  26 19.4763 35 0.0889731
  27 20.3463 35 0.0889731
  28 21.2163 23 0.0584681
  29 22.0863 36 0.0915152
  30 22.9563 28 0.0711785
  31 23.8263 33 0.083889
  32 24.6963 33 0.083889
  33 25.5663 29 0.0737206
  34 26.4363 35 0.0889731
  35 27.3063 27 0.0686364
  36 28.1763 40 0.101684
  37 29.0463 22 0.055926
  38 29.9163 37 0.0940573
  39 30.7863 30 0.0762627
  40 31.6563 30 0.0762627
  41 32.5263 27 0.0686364
  42 33.3963 34 0.086431
  43 34.2663 30 0.0762627
  44 35.1363 33 0.083889
  45 36.0063 29 0.0737206
  46 36.8763 36 0.0915152
  47 37.7463 30 0.0762627
  48 38.6163 35 0.0889731
  49 39.4863 30 0.0762627
  50 40.3563 28 0.0711785
  51 41.2263 41 0.104226
  52 42.0963 21 0.0533839
  53 42.9663 39 0.0991415
  54 43.8363 23 0.0584681
  55 44.7063 34 0.086431
  56 45.5763 7 0.0177946
