# Chunk-averaged data for fix 14 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
200000 53 1728
  1 -1.16056 38 0.0965994
  2 -0.290563 13 0.0330472
  3 0.579437 57 0.144899
  4 1.44944 9 0.0228788
  5 2.31944 65 0.165236
  6 3.18944 1 0.00254209
  7 4.05944 66 0.167778
  8 4.92944 5 0.0127104
  9 5.79944 60 0.152525
  10 6.66944 12 0.0305051
  11 7.53944 42 0.106768
  12 8.40944 30 0.0762627
  13 9.27944 22 0.055926
  14 10.1494 50 0.127104
  15 11.0194 5 0.0127104
  16 11.8894 65 0.165236
  17 12.7594 3 0.00762627
  18 13.6294 70 0.177946
  19 14.4994 1 0.00254209
  20 15.3694 60 0.152525
  21 16.2394 12 0.0305051
  22 17.1094 40 0.101684
  23 17.9794 32 0.0813469
  24 18.8494 19 0.0482997
  25 19.7194 53 0.134731
  26 20.5894 3 0.00762627
  27 21.4594 69 0.175404
  28 22.3294 0 0
  29 23.1994 71 0.180488
  30 24.0694 1 0.00254209
  31 24.9394 63 0.160152
  32 25.8094 9 0.0228788
  33 26.6794 46 0.116936
  34 27.5494 26 0.0660943
  35 28.4194 25 0.0635522
  36 29.2894 47 0.119478
  37 30.1594 13 0.0330472
  38 31.0294 58 0.147441
  39 31.8994 4 0.0101684
  40 32.7694 67 0.17032
  41 33.6394 2 0.00508418
  42 34.5094 65 0.165236
  43 35.3794 7 0.0177946
  44 36.2494 51 0.129647
  45 37.1194 21 0.0533839
  46 37.9894 31 0.0788048
  47 38.8594 41 0.104226
  48 39.7294 11 0.027963
  49 40.5994 61 0.155067
  50 41.4694 1 0.00254209
  51 42.3394 70 0.177946
  52 43.2094 2 0.00508418
  53 44.0794 33 0.083889
