step temp press pressGiga vol ke pe density
0 1637.2165926021000359 15314.008369241901164 1.53140083692419 20522.674672592809657 365.47957712767686189 -7193.5050476828710089 8.239813582816326587
1000 1769.5404470690255039 16211.333432710282068 1.62113334327103 20709.567043407114397 395.01853159039268348 -7131.2357570453705193 8.1654538295519198954
2000 1765.0697248650487836 16346.831619626897009 1.63468316196269 20712.319025372580654 394.02052212240425888 -7129.1543582693575445 8.164368910878581076
3000 1793.7509390076811542 17257.270019671886985 1.72572700196719 20649.749605119217449 400.42309467372291465 -7148.8654415367300317 8.1891072171174918992
4000 1821.4867145606385748 13204.196696067423545 1.32041966960674 20731.338060957696143 406.61461482213042018 -7137.7356653277038276 8.1568788770761582185
5000 1796.216997531628067 10462.067218358446553 1.04620672183584 20726.01997537023999 400.97359851699980027 -7145.5870743915565981 8.1589718491010021495
6000 1724.793470420120002 18274.996345947940426 1.82749963459479 20651.298032460617833 385.02956239885054401 -7139.3358796182074002 8.1884932006282262762
7000 1838.2581032258544838 11793.762547279449791 1.17937625472794 20760.063977896825236 410.35852999187892465 -7134.0463008323231406 8.1455921187427122732
8000 1851.8020906574888613 11114.856301913718198 1.11148563019137 20793.869557083140535 413.38198505671493876 -7127.6623718825667311 8.132349443605519923
9000 1822.9245325052813769 11922.332007536411766 1.19223320075364 20760.585010648941534 406.93558218635649837 -7131.8495450193277065 8.1453876871105066471
10000 1894.7711610411784022 15448.502285503296662 1.54485022855033 20720.10312743303075 422.97406819608789874 -7138.9209110761203192 8.1613017311222542105
11000 1769.9452559767419189 25556.19585445733901 2.55561958544573 20573.029311918260646 395.10889800194649979 -7139.1217501976116182 8.2196457779305731606
12000 1820.3754093107684184 10550.161368507577208 1.05501613685076 20812.412941165068332 406.36653562807782691 -7122.3189730477288322 8.1251037061868203182
13000 1824.4032661343524069 11778.015999174340322 1.17780159991743 20833.623539669966704 407.26568325171302831 -7108.7221123225817792 8.1168315824156280769
14000 1840.9150490754386738 13272.886303727760605 1.32728863037278 20733.692331951147935 410.95164604625131233 -7136.6585296761231803 8.1559526791259848721
15000 1797.9006227313338968 17417.515753757284983 1.74175157537573 20705.90441099304735 401.34943799285804289 -7128.5981390109263884 8.16689820287066226
16000 1797.5724438926590665 14510.299472172384412 1.45102994721724 20718.839880121417082 401.27617788559854262 -7134.1584772045171121 8.1617993334267637806
17000 1871.150096339560605 15952.796400247329075 1.59527964002473 20717.554661800819304 417.70108429312614362 -7134.1847591145042315 8.1623056525461592514
18000 1830.6479316872910204 21351.042752935260069 2.13510427529353 20615.470391648639634 408.65969412107784819 -7144.5931991442448634 8.2027239888474596796
19000 1807.5500262363116235 16598.463970615659491 1.65984639706157 20645.95998152339962 403.50349624542468518 -7150.30896301804205 8.1906103506102638789
20000 1754.9245773994584852 12699.538559479802643 1.26995385594798 20753.72545287723915 391.75579781996555084 -7130.178195716413029 8.1480799149488056798
21000 1738.6766097628596981 9708.8847226876896457 0.970888472268769 20760.98816894707852 388.12872711481816168 -7138.7470015766220968 8.1452295115645796386
22000 1795.1511863163359521 12108.479845870615463 1.21084798458706 20724.465264942737122 400.73567505957640833 -7141.7454976195549534 8.1595839198323503183
