step temp press pressGiga vol ke pe density
0 1899.9999999999988631 31239.63782354191062 3.12396378235419 19229.362495487999695 424.14131378849981502 -7607.044980820886849 8.7939999863557289927
1000 1913.4346849036553522 13066.586221997280518 1.30665862219973 20968.202475730438891 427.14036900185317336 -7067.034648940725674 8.0647358169437008968
2000 1902.5937775786164821 16507.265481562670175 1.65072654815627 20853.551329003603314 424.72032864632609517 -7086.7394898057718819 8.1090750853433029022
3000 1941.007936893605347 9614.836304012536857 0.961483630401254 20952.325617526770657 433.29560864629462458 -7082.9658031423696229 8.0708469603725028207
4000 1853.3865470743780861 13487.971258936520826 1.34879712589365 20903.877359922302276 413.73568686003068251 -7080.8824215507574991 8.0895525079553660674
5000 1813.4758247893628322 19217.240465487964684 1.9217240465488 20764.752491065279173 404.8263257104442232 -7102.3287325861256249 8.1437529099233429974
6000 1873.2750423205345669 15300.465246551662858 1.53004652465517 20866.977078681473358 418.17544080896817604 -7085.1907225958402705 8.103857731061253844
7000 1891.9818759632039473 875.71850401325082203 0.0875718504013251 21066.661765747747268 422.35140975529691332 -7079.7963131260930822 8.0270436485525760162
8000 1897.5394908226894586 13496.46160782194238 1.34964616078219 20855.39018785258304 423.59204873847204453 -7099.6472489783063793 8.108360092991521384
9000 1925.6282580146801138 10705.766690399868821 1.07057666903999 20887.638580695856945 429.86236801189852486 -7100.0083783233785653 8.0958416084063298257
10000 1887.4996811667049315 18557.223590025088924 1.85572235900251 20756.148279750108486 421.35083923443215781 -7114.1570115605472893 8.1471288046216798762
11000 1849.3470678880348714 17409.653298685829213 1.74096532986858 20812.753220866983611 412.83394474996919143 -7097.047525497397146 8.1249708641818330079
12000 1925.724714802659264 11150.414853551976194 1.1150414853552 20926.354789498127502 429.88390027967602691 -7086.8049349779685144 8.0808633526473059305
13000 1879.2831061198235147 6747.7494573414478509 0.674774945734145 20968.790733866011578 419.51663453168163187 -7088.2563641129218013 8.0645095689680417195
14000 1920.1638927243473063 5629.1720101231094304 0.562917201012311 21014.361098402761854 428.64254534176058087 -7079.315008190228582 8.047021402701785675
15000 1874.0204077378184593 8812.7521332556116249 0.881275213325561 20959.355946734503959 418.34183042335729397 -7083.5875476841956697 8.0681397821910323387
16000 1888.5571802867095812 11750.20321382486145 1.17502032138249 20932.019644522079034 421.58690716395267373 -7082.2653602393374968 8.0786764198936342751
17000 1956.2939162036300331 11649.826832111995827 1.1649826832112 20931.433796384379093 436.7079325131880978 -7085.2324494643653452 8.0789025332875716856
18000 1973.1711788791371873 11554.695481062331964 1.15546954810623 20860.559186664511799 440.47548217863192122 -7111.3617301282574772 8.1063509376610092261
19000 1846.2112267199954658 12552.84718373310352 1.25528471837331 20812.167516414367128 412.13392380636690859 -7115.5505148042639121 8.1251995204046298937
20000 1917.7321366119019785 15897.750751959871195 1.58977507519599 20819.913612060096057 428.09969890368387269 -7105.7799274458502623 8.1221765216641728102
21000 1920.1036497171996871 14060.470590364724558 1.40604705903647 20907.750845928461786 428.62909715849838221 -7081.0895799845229703 8.0880537925427624657
22000 1952.8495150648968774 5764.7453185048998421 0.57647453185049 21034.058751905777171 435.93903102676870276 -7067.5159070037843776 8.03948565122408354
23000 1909.2415115369119576 21404.939906729166978 2.14049399067292 20753.290521426581108 426.20431739095130297 -7102.4853682940729414 8.1482506761210569124
24000 1855.5205111596033021 10771.288004962665582 1.07712880049627 20877.045028100630589 414.21205650775959839 -7101.5932269295508377 8.0999496478231058916
25000 1890.0769924350802285 14816.996939475244289 1.48169969394752 20766.052639525121776 421.92617828043779582 -7123.2614123400853714 8.1432430350816016329
26000 1848.5282699791016512 16404.503927008794562 1.64045039270088 20830.882347983508225 412.65116263374693517 -7089.1123071382589842 8.1178996980567426078
27000 1923.2630897008548345 12918.653176353212984 1.29186531763532 20898.345521223418473 429.33438611928966111 -7083.3683204963799653 8.0916938305578991475
28000 1863.4898691309815604 5039.4806931884240839 0.503948069318842 20997.626048327718308 415.99107438146029381 -7082.1544790910575102 8.0534348565760112137
29000 1934.6731324894840327 5450.757341885419919 0.545075734188542 20957.439993195494026 431.88147587652764514 -7102.4297755816241988 8.0688773809136780102
30000 1865.7349252589826847 16354.793326090435585 1.63547933260904 20854.757922005133878 416.49224335812306208 -7082.7155515299127728 8.1086059188689922905
31000 1982.4277716385990971 19993.949811324961047 1.9993949811325 20729.419538018461026 442.54185239663371476 -7112.3181055462591758 8.1576338021819747581
32000 1924.0405509984668697 10953.566607227809072 1.09535666072278 20839.380214176599111 429.50794056991537673 -7115.4512440233766029 8.1145893872560357352
33000 1938.9776327936010603 16966.050045305295498 1.69660500453053 20830.390940716097248 432.84237925241774292 -7096.9247294766828418 8.118091206459974174
34000 1875.753019673912604 11589.30154374781705 1.15893015437478 20909.59684710845977 418.72860531959969421 -7089.9559780302797662 8.0873397397107495976
35000 1927.302993154685737 10806.438837740317467 1.08064388377403 20899.385128199857718 430.23622293954571205 -7094.6638936143608589 8.0912913220005489023
36000 1962.6859638856394668 -853.7644415686247612 -0.0853764441568625 21149.280872232127876 438.13484382984398735 -7062.5875880550493093 7.9956862147957963316
37000 1984.5706045021897808 18655.362582217880117 1.86553625822179 20789.17248537532214 443.02020184189291285 -7105.7022247570694162 8.1341868533685364184
38000 1897.4661060121484297 7181.9948211509481553 0.718199482115095 20977.209674522546266 423.57566688060097704 -7081.8928237187610648 8.0612729789477945985
39000 1964.1015195687839423 8166.3319783787228516 0.816633197837872 20979.207942655251827 438.45084153889121126 -7082.6182098990593659 8.0605051432436578551
40000 1835.8614929973216476 10393.987539064499288 1.03939875390645 20968.439612401591148 409.82352924926374271 -7067.5028650042513618 8.0646446110819045572
41000 1914.4297611654969842 1153.0168146901137334 0.115301681469011 21062.994009306403314 427.3625021350201223 -7082.4013411749310762 8.0284414194978612755
42000 1918.7057671036561715 3303.7813720569452016 0.330378137205695 21051.111531969883799 428.31704464890344752 -7075.9566786503100957 8.0329731409259608199
43000 1902.0759056310323558 9545.9255253073606582 0.954592552530736 21010.079335568017996 424.60472291568265746 -7062.7894011320486243 8.0486613506820940955
44000 1936.9255866926796443 8129.5572999506484848 0.812955729995065 20979.754943817726598 432.38429634231283671 -7078.4594404998188111 8.0602949832253312223
45000 1875.0573656478547946 6564.0853807905750728 0.656408538079058 21028.237950181461201 418.57331289193950852 -7071.0439071409009557 8.0417110517570300487
46000 1949.2214458340606598 11189.149089154956528 1.1189149089155 20854.584718441165023 435.12912889514632298 -7108.4934162085419302 8.1086732632665405873
47000 1934.8252538090994221 15317.816022436154526 1.53178160224362 20803.989986327182123 431.9154342640839559 -7108.3784220950783492 8.1283933338791687362
48000 1876.4522236043746943 10172.56894134509821 1.01725689413451 21004.951605454567471 418.88469020047983804 -7060.1207441567585192 8.050626190399704285
49000 1964.3565222370218635 5404.335477534446909 0.540433547753445 21052.984129797896458 438.50776636348382453 -7070.7852955690868839 8.0322586328085634477
