# Chunk-averaged data for fix 14 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
0 40 864
  1 0.5219 23 0.0892656
  2 1.3889 36 0.13972
  3 2.2559 4 0.0155244
  4 3.1229 32 0.124196
  5 3.9899 25 0.0970278
  6 4.8569 11 0.0426922
  7 5.7239 36 0.13972
  8 6.5909 1 0.00388111
  9 7.4579 35 0.135839
  10 8.3249 24 0.0931467
  11 9.1919 12 0.0465733
  12 10.0589 36 0.13972
  13 10.9259 1 0.00388111
  14 11.7929 35 0.135839
  15 12.6599 26 0.100909
  16 13.5269 10 0.0388111
  17 14.3939 36 0.13972
  18 15.2609 1 0.00388111
  19 16.1279 35 0.135839
  20 16.9949 24 0.0931467
  21 17.8619 12 0.0465733
  22 18.7289 36 0.13972
  23 19.5959 4 0.0155244
  24 20.4629 32 0.124196
  25 21.3299 30 0.116433
  26 22.1969 6 0.0232867
  27 23.0639 36 0.13972
  28 23.9309 6 0.0232867
  29 24.7979 30 0.116433
  30 25.6649 33 0.128077
  31 26.5319 3 0.0116433
  32 27.3989 36 0.13972
  33 28.2659 7 0.0271678
  34 29.1329 29 0.112552
  35 29.9999 30 0.116433
  36 30.8669 6 0.0232867
  37 31.7339 36 0.13972
  38 32.6009 9 0.03493
  39 33.4679 27 0.10479
  40 34.3349 13 0.0504545
