step temp press vol ke pe density
0 300 -79187.926086465551634 10404.736863237551006 33.465451540500005478 -3881.4006147741188215 5.9080203695207327286
100 273.44803045417125986 32340.118941435132001 9662.0722579228931863 30.503539373364123577 -3889.4785071075821179 6.362133886662269866
200 220.28146599604673384 -12437.766464520982481 9948.2526285312578693 24.572729085203334876 -3883.7789874580062133 6.1791150288255387579
300 233.60968159107599718 4071.9595459979982479 9842.1343863375968795 26.05951159559263175 -3884.4856420477763095 6.24573846632722951
400 248.00107726816310105 1089.2544273331329805 9861.2485420310531481 27.664893444365031172 -3884.8724858299351581 6.2336322896136868721
500 266.62953504162032914 -4169.9649270883264762 9893.5538598362127232 29.742925947337976567 -3885.7110929294840389 6.2132776753820921911
600 270.54973305466256761 3682.951784121476976 9847.1147788434846007 30.180229936120074541 -3885.0294057316714316 6.2425795482329400343
700 260.86896069553341704 -3734.5253501679499095 9898.6449826089774433 29.100325208589911341 -3882.7927913327994247 6.2100820299657524259
800 259.17214993598042838 3557.5842389936979089 9856.9332034407034371 28.911043414432512577 -3881.5854806814122639 6.236361356902895281
900 262.242731216411471 -770.72269463868292405 9887.398297348379856 29.253571377903949013 -3880.8671606812731625 6.2171458536262447225
1000 290.4937630214394062 40.691357881902547433 9874.4336760868882266 32.405016497371576634 -3883.010095684078351 6.2253086449278773884
1100 290.66303681207102727 -1888.6075044919507491 9890.5127962073565868 32.423899243496435929 -3882.0682162447410519 6.2151880892447417537
1200 286.22579986676902308 878.26097592781866297 9878.260422442570416 31.928918783607372234 -3880.7602207457312034 6.2228970181685898666
1300 297.68777604161829231 -625.30971883861377592 9885.354609344385608 33.207519477733313806 -3881.1840209300230526 6.2184311799399942799
1400 294.78472098842536298 -1153.3869619241975215 9893.4036853187662928 32.883679317059879565 -3880.1557504346228598 6.2133719883209286294
1500 297.64195440971946027 2449.0074952679992748 9871.4182141849832988 33.202408005727257034 -3879.8430945758755115 6.2272103150465039079
1600 292.95053266978521833 -2730.6733361908700317 9904.6845995008388854 32.679072849414538382 -3878.6769794080009888 6.2062952848199337552
1700 298.62088535553914426 1510.4999779538134135 9878.7410736545625696 33.3116092261566763 -3878.7950851233017602 6.2225942424432636457
1800 300.0142662682280843 -1031.1426449051075451 9898.2605241346391267 33.467042964193510102 -3878.5081175778032048 6.2103232358480315867
1900 304.65022729305985649 1123.5750424592233685 9884.6982759546717716 33.984191394260690799 -3878.7031567974104291 6.2188440771171356047
2000 303.18270850763400404 479.32021522896690158 9889.3734050610146369 33.820487464932547539 -3878.270175467723675 6.2159041639637031551
2100 293.31890248358104145 -253.29229076983423852 9897.2043195493497478 32.720165056589756603 -3876.9351547142941854 6.2109859858192413284
2200 301.95643915983805528 1590.5655268861064542 9883.4705089171420695 33.683695273484993038 -3877.6605456542156389 6.2196166085637090148
2300 307.75293731109763939 -1635.9190603126853603 9901.2050266674959857 34.330303366770245077 -3878.1366978700143591 6.2084763583772026863
2400 307.38238898546427436 338.06847530769732657 9890.9273598733998369 34.288968143320587956 -3878.0095372597797905 6.2149275887814710018
2500 302.1919241628380064 894.47355949916834561 9890.5675156302113464 33.709963980006357076 -3877.3603124696528539 6.2151537038058233264
2600 298.40975997835528233 234.78700063775016815 9894.8178194886604615 33.288057872559619454 -3876.798227234451133 6.2124839940395544247
2700 306.10041430780114524 157.90892627022373063 9894.4885891040721617 34.14596193848230854 -3877.5324999547888183 6.2126907089673837348
2800 319.43893750157508293 297.90965006309727414 9891.6913624001099379 35.633894277025902397 -3878.9366182518833739 6.2144475677004251679
2900 313.49638546492178648 -787.95544237513138341 9899.5878084796186158 34.970993652994167178 -3878.204251349588958 6.209490588573451042
3000 305.50502301800219129 644.2484559207160828 9892.3572079418481735 34.079545143960963571 -3877.2305828851913247 6.2140292789022817388
3100 301.62648553241132277 730.12571364533505403 9893.8239444205009931 33.646888449720790959 -3876.7198204195801736 6.2131080634577795507
3200 317.63817686304878407 -321.31672093910128751 9895.6331232740049018 35.43301671741042469 -3878.3440442447390524 6.2119721458683834214
3300 321.49770284586634261 -1135.7428929789423364 9899.5189239693027048 35.863552649901365044 -3878.676443996550006 6.2095337965032291194
3400 315.74479077644633662 -45.243188727277285466 9896.4088775949821866 35.221806649648257803 -3878.0143715576987233 6.2114852051716562542
3500 305.35715816394110789 1103.2526184492874108 9891.3314408151618409 34.063050596933884151 -3876.7505427707110357 6.2146736963901298978
3600 305.81978615230303831 -62.546505626868821537 9898.232580234969646 34.114657445353238074 -3876.6938837831648925 6.2103407683365858816
3700 312.84334204667413815 381.19325222014657584 9893.3038249050241575 34.898145676770134571 -3877.3493308806173445 6.2134347044679785199
3800 303.77246151534063756 551.2455553744680401 9896.4358981787227094 33.886275300600111393 -3876.3158787365346143 6.2114682457371825919
3900 313.20790435384049033 1240.0525203768377196 9889.3132333694193221 34.938813150850030809 -3877.3020092667375138 6.2159419847364416611
4000 314.46102244068418941 -1892.2789019066674427 9906.7785419231277046 35.078600359549334087 -3877.2662207683606539 6.2049834936128185348
4100 305.79600645348642729 1265.0136736666850084 9890.0145782602139661 34.112004784158585835 -3876.2471822690431509 6.2155011846629966143
4200 309.07311438820136118 88.53387201715938204 9896.3546727183929761 34.477571106765893205 -3876.5106813757784039 6.2115192270716503842
4300 324.75115346875952582 -682.40420471673428437 9898.4439285929765902 36.226479963767502568 -3878.1643631627921422 6.2102081671587114897
4400 325.14352379925622927 346.49114064538946423 9892.9602247990915203 36.270249464704725995 -3878.1302276822398198 6.2136505081075510404
4500 318.64679098544462477 -1151.6282554710762724 9902.7690394356923207 35.545529140864104534 -3877.279659434631867 6.2074958107892621584
4600 313.83516667729162464 1118.49136319365698 9890.8977962840708642 35.008785207145479035 -3876.6588336290687948 6.2149461650089001807
4700 315.30999760270094612 -534.28402909178566915 9901.1439622578036506 35.173304816694532349 -3876.7375592718262851 6.2085146485935007732
4800 321.01563191999031233 14.767995964808374509 9896.8265825399394089 35.809776912538069382 -3877.2905904723675121 6.2112230435520610072
4900 323.11106512966119908 667.70750780411890446 9893.2450161947235756 36.043525640986722181 -3877.4549103084818853 6.2134716391725071105
5000 320.81190768877695518 -1288.6689702288056196 9904.2000981989567663 35.787051167913752181 -3877.0535396466948441 6.2065988891610768263
5100 313.96035604314107559 956.34946004336836722 9893.7044501065684017 35.022750269332881601 -3876.2325632058873452 6.2131831042161911327
5200 316.84263508476362858 158.32825174746434982 9896.7079367733567778 35.344272834644947068 -3876.4533712810934958 6.2112975062243078739
5300 318.32586628669469064 -840.08465581986024517 9903.6714880606668885 35.509729507683552185 -3876.5651855006854021 6.2069301674250079159
5400 330.97386620319792883 1152.8493812376143524 9888.8740036788240104 36.920632935316838541 -3877.8621064904937157 6.2162180754494693602
5500 336.23748937906589163 -2967.140522127307122 9911.6031850744475378 37.507798023048380287 -3878.2922150754525319 6.2019631112833888409
5600 329.7652742889166575 596.71782766681485555 9893.2992475303835818 36.785812688184776675 -3877.5501774723879862 6.2134375792641138858
5700 323.14102751828210103 -205.76842717134371696 9900.1520901174681057 36.046867990534828152 -3876.7255618006629447 6.2091366645642400712
5800 322.76548150521063008 -450.30726481450943766 9901.1633237024489063 36.004975267529253813 -3876.5910471784891342 6.2085025080188263047
5900 319.87437644652845847 1319.8242187340340479 9892.5749184206069913 35.68246814672983902 -3876.1956878959117603 6.2138925238814213259
6000 330.14544278655870357 -1448.213830344990356 9906.1365173793274153 36.828221056301657654 -3877.1668770248707006 6.2053856435014038695
6100 328.349622344361876 293.69683317395526956 9897.374579647772407 36.627894583022396091 -3876.9070331054645067 6.2108791410113841636
6200 327.51686927523820714 69.224609901758881847 9898.6038970811732725 36.534999724755863326 -3876.7645501493816482 6.210107805772175027
6300 330.16541712165337685 -888.59512002350857074 9902.7837457997593447 36.830449223445533846 -3876.9071561721075341 6.2074865922002597785
6400 320.62539463868114353 1007.1816491393683464 9894.6929574618570769 35.766245356448244763 -3875.7989972172658781 6.2125623899378723536
6500 320.73473372694951422 -78.6713920894573846 9900.2219427975524013 35.778442296314672433 -3875.6844410949993289 6.2090928549567854233
6600 319.92005250768909264 -422.61227662615516465 9903.1671233897250204 35.687563380100954191 -3875.5174373203508367 6.2072462841028794855
6700 323.69075496758819099 917.95357631969159229 9894.3059343432578316 36.108190914918942838 -3875.8618212743540425 6.2128053989257283618
6800 325.63189855891835123 -1096.4383882616598385 9906.7110118217478885 36.32472840421498006 -3875.9663714630769391 6.2050257905127566005
6900 321.58813053549687311 1265.2948071000878372 9893.6459536529509933 35.873639994785534668 -3875.430640896013756 6.2132198398320568344
7000 330.19415316490869827 -508.20177407682962212 9902.0489223205549933 36.833654772322290682 -3876.2615931340710631 6.2079472450338881728
7100 330.64433769508787009 -557.72715190283258835 9902.8991593335467769 36.883873534252273885 -3876.2820268965101604 6.2074142469252020504
7200 321.01359602674273219 1420.3125624095171133 9891.8430273250742175 35.80954980558200873 -3875.1431685620609642 6.2143522857876973831
7300 323.53816769034563094 -1543.1114427637132849 9910.0249116857739864 36.091169574478087156 -3875.2850218095209129 6.2029508376940993841
7400 328.57044592753567258 1388.5448608768926988 9892.8426009096692724 36.652527786094736939 -3875.7421688251642991 6.2137243871501839365
7500 330.59812866855219227 -778.36010471354381934 9905.100380833098825 36.878718847791397195 -3875.8721740353666974 6.2060347663372628091
7600 325.27053972170176621 534.18600716268008455 9900.1255896205384488 36.284418282029641034 -3875.2173586943799819 6.2091532850813866418
7700 318.38189317476678752 1533.4855793019733028 9894.5876410579166986 35.515979391376021113 -3874.3798736663629825 6.2126285154555693779
7800 328.97672769650853297 -1329.7215411325635159 9909.8302866882841045 36.697849128932574558 -3875.4274955944010799 6.2030726611013919936
7900 328.08954701786791475 1032.1121064164690324 9894.8874210397498246 36.598882788903516428 -3875.1934353927526899 6.2124402948539341196
8000 336.45995530405031104 -1018.0663821471007395 9908.0996531628079538 37.532614431821642142 -3876.0587845737609314 6.2041561428874114625
8100 341.68271327089894385 -21.950993140186461972 9900.079337304308865 38.115220943979423396 -3876.5737600598677091 6.2091822937096488033
8200 335.06328613025237928 -676.2923770596706845 9905.8984531203750521 37.376813883308827258 -3875.7428485634873141 6.2055347749044482697
8300 330.07082762186536229 342.50894293706136295 9901.6868379926472699 36.819897622374220703 -3875.1283391892384316 6.2081742568999143117
8400 327.62336449406444672 312.70349288129165188 9900.4502397405740339 36.546879426705608296 -3874.7255132982327268 6.2089496779412565175
8500 330.45973426304732357 -804.88345404637902902 9907.9466331639923737 36.863280743555058905 -3874.9906875983324426 6.2042519609212369858
8600 332.78719270275081499 1189.8121355909886461 9893.9230255938255141 37.122912235643148904 -3875.2119213425403359 6.2130458432408515179
8700 331.96376947815014091 -1389.0457895945621658 9911.6513488872642483 37.031058135575825929 -3874.9640480930911508 6.2019329740055662015
8800 332.84508570351096068 1458.8627256778449919 9894.5752368186804233 37.129370287014722862 -3874.9857333037925855 6.2126363038576526421
8900 328.12175507872188973 -115.63241706530250497 9906.7594229556543723 36.602475646569260448 -3874.3634152651184195 6.2049954685556345524
9000 331.24998254189125646 761.38711549953382018 9899.7479157841735287 36.951434128490440401 -3874.6777831709014208 6.2093901633091661552
9100 336.84125447506528417 -263.08482034229729152 9904.889653925298262 37.575148928255089231 -3875.1985530476595159 6.2061667999652687655
9200 350.19299467599120135 -1387.0073684303238224 9908.7908974970632698 39.064555643839860011 -3876.4842131529594553 6.2037233365211283953
9300 333.07304215904156308 930.95941132968403053 9900.5657986034784699 37.154799172734399804 -3874.558185468360989 6.2088772074199534146
9400 336.02250875826030097 22.555811251844044563 9904.4256813487318141 37.4838166112226574 -3874.7466054193505443 6.2064575276958233729
9500 336.01088893567703053 -515.43807455080013824 9908.1668316112391039 37.482520402524095005 -3874.6742045078603951 6.2041140780341867966
9600 336.84204587104943585 327.89935640106648407 9902.9231946935651649 37.575237209668280514 -3874.6749635156211298 6.2073991809256714447
9700 339.9174345258984431 -511.56500511583089974 9907.3935902746961801 37.918301442991790395 -3874.9427207888361409 6.2045982898925373661
9800 340.44868526287552868 1268.3174690253083554 9898.3360307974744501 37.977563262305665148 -3874.9442487260957932 6.2102758621499472014
9900 338.72199420172182727 -691.08042390774949126 9910.1194471002090722 37.78494827553081592 -3874.6533136009720693 6.2028916660028512453
10000 340.1915862479567636 695.85524514394410289 9902.1125744374821807 37.948883480222747266 -3874.7527315778825141 6.2079073395106023625
10100 335.14244994464388583 -124.45093617503076189 9908.0141908932801016 37.38564472595642485 -3874.0651765848642754 6.2042096572702396529
10200 347.95965746091650317 -416.98438352523783124 9905.7034328735007875 38.815423516024274875 -3875.3180898940336192 6.2056569474419154275
10300 348.03332584946105044 -835.14740086910353511 9909.2932349968414201 38.823641335647280926 -3875.2961553732511675 6.2034088476069060292
10400 350.75629342867011928 -94.690227136892943349 9905.7417775424364663 39.127392467541866949 -3875.5147223673011467 6.2056329256304723074
10500 348.90846188758882818 -579.05168771198566446 9907.4651674743745389 38.921264077898321432 -3875.2004473076635804 6.2045534643228066329
10600 338.97451990951088874 -158.82780863313203668 9907.6647481966829218 37.813117898319966059 -3874.0474889483416518 6.2044284793446626836
10700 343.71624298284558563 110.27158028022633118 9904.5116344119160203 38.342064244083807978 -3874.4192597758410557 6.206403666985096379
10800 341.74731165500918451 -962.84519404439890877 9913.1947335019158345 38.122426990956206794 -3874.1407682346598449 6.2009673954821424857
10900 351.17010159583344375 1115.9763069418443138 9898.5793813624695758 39.173553391426089831 -3875.0970442785824162 6.2101231862879258117
11000 350.38338917082933222 -1932.9414793317030217 9917.6234903193690116 39.085794436308475497 -3874.8793512865509001 6.1981983272013847497
11100 351.46018319446437772 696.50665313752006114 9902.2749576228779915 39.205912430365337684 -3874.8607774010906724 6.2078055386847568187
11200 349.35936481164372935 -757.67758868444775544 9909.8948086195869109 38.971562977746415868 -3874.5310943414715439 6.2030322737677385803
11300 345.29025499564659185 -90.824603583700223908 9908.7799170108592079 38.517647653212335968 -3874.0759201176588249 6.2037302112220586991
11400 341.80911669754630111 1156.857454924627973 9899.6526758487398183 38.129321436476153906 -3873.6434242616205665 6.2094499009522534649
11500 339.16926936733597131 -909.80496989625896731 9914.1714241321133159 37.834842493464577728 -3873.2171661235106512 6.200356509660803539
11600 336.90693063380871308 1321.8532888023589749 9900.7788179869112355 37.582475202614403997 -3872.8855036791674138 6.2087436208386508341
11700 353.15072920222553421 -892.75237514411912798 9910.5938770634020329 39.39449538203106016 -3874.5571351663465975 6.202594727423660359
11800 346.27806417843265763 382.63118238431201235 9907.5787299436778994 38.627839254338290687 -3873.8065791697272289 6.2044823466025711411
11900 342.6903450063547325 515.21071439112063217 9904.643424656615025 38.227623780691303068 -3873.2815365998958441 6.2063210851673673574
12000 347.23519697498642245 -1556.9803173246266397 9917.4291775734036491 38.734608858407938214 -3873.6302350480382302 6.1983197688487541299
12100 341.41417914164782133 1674.2133883471742593 9901.3324901472224155 38.085265557681339033 -3872.8865094140228393 6.2083964343870503555
12200 344.72286726106949573 -101.96784030833636336 9910.7287811743553902 38.454354697425117138 -3873.2138768686827461 6.2025102981606075048
12300 353.19892553362649323 -617.22920751983122045 9913.4730362645441346 39.399871755340818424 -3874.0849726454753181 6.200793314577214943
12400 350.9548921197088589 495.49471719459592123 9906.7581263858683087 39.149546450445079415 -3873.706297936471401 6.2049962806487073408
12500 340.40774927662590699 -431.89178826949591894 9915.0207142421895696 37.972996791425330798 -3872.4273015334501906 6.199825406235569325
12600 347.54343583515873206 1276.5675745597086461 9903.8658056188069168 38.76899336720125433 -3873.1383184621640794 6.2068083851293511799
12700 359.21487249034640854 -794.71748079145879728 9912.3043314496862877 40.070959693175247196 -3874.3555043440410373 6.2015244157178139872
12800 356.43150325408248591 -839.83608882491182612 9913.1690724710042559 39.760470665523556022 -3873.9770990263368731 6.200983447182144559
12900 345.54932932024070169 770.90281365571968308 9907.4051204424704338 38.546547784062639153 -3872.6765190323303614 6.2045910690250769548
13000 343.963914515096576 409.51254308681131988 9910.6864052861001255 38.369692376285499336 -3872.3710077818877835 6.202536818713529243
13100 352.94241949223714983 112.30073921110235347 9910.2012602147988218 39.371258120347619069 -3873.2724456246628506 6.2028404583761505009
13200 353.76804487197102844 -396.3570164215133218 9912.6266397775161749 39.463357874134587178 -3873.3197416620791955 6.2013227736064884255
13300 352.67273874977956893 -34.24400661838207327 9909.9117176454528817 39.341174827620555732 -3873.1208793019413861 6.2030216896943235483
13400 356.63185755295154422 -629.36319269371642804 9915.1105045749354758 39.782820489122663332 -3873.4147820300272542 6.199769261184444602
13500 347.52706981546532461 229.61118658493779776 9910.6741470373563061 38.767167713071387425 -3872.309772469080599 6.2025444904660291812
13600 349.3437430552959313 22.31200508747263811 9912.2489780558062193 38.969820347312968067 -3872.3865517146491584 6.201559047154574067
13700 356.07398931241601758 -106.51223069587746295 9911.971470345488342 39.720589447223915158 -3873.1274475249174429 6.2017326736078715044
13800 359.25638684109503629 199.2483860205298356 9909.6317093184861733 40.075590681485962818 -3873.4341414707278091 6.2031969633852552803
13900 357.22962031158130003 -798.119569495824976 9916.2036669939352578 39.849501824561464502 -3873.0350024994290834 6.1990857985418452714
14000 357.69804603995760317 376.24291034799415456 9910.4012603218488948 39.901755419605798636 -3872.9789616142520572 6.2027152799173679298
14100 356.12972946650506856 -484.72564500742157634 9915.2399767560345936 39.72680734530900537 -3872.7367760495121729 6.199688305236787933
14200 348.30065535751373318 844.73057241703611453 9908.8677919093406672 38.853462344637563319 -3871.8457038521346476 6.2036751946274319991
14300 350.14440238413345696 336.56163884046765133 9911.3208282426312508 39.059135100545177011 -3871.9671447721684672 6.2021397947633705172
14400 358.93289282855272404 -546.65550283582729207 9914.4693732114246814 40.039504437484708887 -3872.7691563911121193 6.2001701768936214876
14500 358.50373759168644483 250.24350606489613824 9912.3303231459267408 39.991631524875707271 -3872.6263603610823338 6.2015081543409644738
14600 359.1837502222662124 -366.45593739159312463 9914.0011086964659626 40.067487957327692527 -3872.6201047013573771 6.2004630273430727527
14700 360.84609566779687384 102.32753590029365398 9911.5393636906028405 40.252925093830945968 -3872.7497046085445618 6.2020030463382571639
14800 359.6557221900657737 -314.39389411922348927 9914.3524834582349285 40.120137140717261559 -3872.5027916250487579 6.2002432766107151707
14900 356.72427754591791427 97.946723632026959194 9913.3969602199249493 39.793130078442629838 -3872.0510728061308328 6.2008408998631434628
15000 366.033330301784531 -188.09901147519403253 9912.816946681959962 40.831568924740672344 -3872.9891523390588191 6.2012037202085643628
