# Chunk-averaged data for fix 14 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 69 2048
  1 -0.428373 45 0.112717
  2 0.271627 15 0.0375722
  3 0.971627 50 0.125241
  4 1.67163 1 0.00250481
  5 2.37163 63 0.157803
  6 3.07163 0 0
  7 3.77163 64 0.160308
  8 4.47163 0 0
  9 5.17163 63 0.157803
  10 5.87163 1 0.00250481
  11 6.57163 62 0.155298
  12 7.27163 2 0.00500963
  13 7.97163 57 0.142774
  14 8.67163 7 0.0175337
  15 9.37163 44 0.110212
  16 10.0716 20 0.0500963
  17 10.7716 21 0.0526011
  18 11.4716 43 0.107707
  19 12.1716 2 0.00500963
  20 12.8716 62 0.155298
  21 13.5716 2 0.00500963
  22 14.2716 62 0.155298
  23 14.9716 0 0
  24 15.6716 64 0.160308
  25 16.3716 0 0
  26 17.0716 63 0.157803
  27 17.7716 1 0.00250481
  28 18.4716 61 0.152794
  29 19.1716 3 0.00751444
  30 19.8716 50 0.125241
  31 20.5716 14 0.0350674
  32 21.2716 35 0.0876685
  33 21.9716 30 0.0751444
  34 22.6716 29 0.0726396
  35 23.3716 30 0.0751444
  36 24.0716 28 0.0701348
  37 24.7716 33 0.0826589
  38 25.4716 28 0.0701348
  39 26.1716 28 0.0701348
  40 26.8716 30 0.0751444
  41 27.5716 26 0.0651252
  42 28.2716 36 0.0901733
  43 28.9716 26 0.0651252
  44 29.6716 28 0.0701348
  45 30.3716 34 0.0851637
  46 31.0716 25 0.0626204
  47 31.7716 29 0.0726396
  48 32.4716 26 0.0651252
  49 33.1716 32 0.0801541
  50 33.8716 25 0.0626204
  51 34.5716 34 0.0851637
  52 35.2716 28 0.0701348
  53 35.9716 29 0.0726396
  54 36.6716 34 0.0851637
  55 37.3716 28 0.0701348
  56 38.0716 27 0.06763
  57 38.7716 39 0.0976878
  58 39.4716 27 0.06763
  59 40.1716 26 0.0651252
  60 40.8716 35 0.0876685
  61 41.5716 32 0.0801541
  62 42.2716 26 0.0651252
  63 42.9716 38 0.0951829
  64 43.6716 28 0.0701348
  65 44.3716 30 0.0751444
  66 45.0716 29 0.0726396
  67 45.7716 30 0.0751444
  68 46.4716 21 0.0526011
  69 47.1716 7 0.0175337
