step temp press pressGiga vol ke pe density
0 704.88973540964400399 2120.8198214724284298 0.212081982147243 23921.326052625448938 186.51066383830337259 -9042.3182041108902922 6.0912166210955058787
1000 1049.7211155455734115 3617.3036243240931071 0.361730362432409 24249.662927368011879 277.75150107939936106 -8945.5227462883340195 6.0087424425990505483
2000 1021.264734920085175 3994.1005108156409733 0.399410051081564 24239.736679141711647 270.22207034111391977 -8944.5825587514955259 6.0112030414827186675
3000 1058.3261331386395341 -547.38281101474899515 -0.0547382811014749 24285.905180681696947 280.02835015663885088 -8955.1210137432299234 5.9997754980243609424
4000 1042.2419256866778596 -1419.9133465438615076 -0.141991334654386 24348.79675548738669 275.77254097332740912 -8933.2843673768766166 5.9842784148074512629
5000 1058.3441695405481369 -2797.0024514306883248 -0.279700245143069 24369.9154878282352 280.03312250772330572 -8935.8237317818438896 5.9790924971887235984
6000 1093.6021173586666464 -2353.4469442560061907 -0.235344694425601 24391.404808278970449 289.36221743249473093 -8928.9869455290099722 5.9738247958944850069
7000 1122.4831112539918649 -692.43324411483138192 -0.0692433244114831 24378.082365959566232 297.0039989383591319 -8924.6344093267834978 5.977089447111707976
8000 1066.1231743624966839 3905.7676235776043541 0.39057676235776 24313.868834510252782 282.0914123088932115 -8915.2173836368656339 5.9928750887880619658
9000 1143.3136279925931831 1492.3750177778433681 0.149237501777784 24371.402456680836622 302.51566028033283828 -8915.2589766415949271 5.9787276956831085784
10000 1117.6967475346664287 2210.6584070850135504 0.221065840708501 24359.186965688921191 295.73754855637969285 -8914.2082476423474873 5.9817258702286082439
11000 1151.2437988666483761 2715.4866434185983053 0.27154866434186 24377.644906232446374 304.61394794118479012 -8911.9170971386301972 5.9771967066902504939
12000 1138.9147475636273157 2354.0810237560967835 0.23540810237561 24350.359271207675192 301.35173623982325353 -8917.0853590124352195 5.9838944151714095199
13000 1198.8964640012052314 -994.64724135992923948 -0.0994647241359929 24446.022103422161308 317.22262950007495874 -8908.8096229137190676 5.9604780783536641664
14000 1190.4605983543019647 -1409.0225123489235557 -0.140902251234892 24499.706612956801109 314.9905372694507264 -8891.6431378711804427 5.9474172957376314486
15000 1173.1338992995160879 -2187.4170320195617023 -0.218741703201956 24467.7200928015518 310.40597037835163974 -8901.6196586708538234 5.9551923226907117481
16000 1229.2743211602560223 -4042.1535936779168878 -0.404215359367792 24548.461742390063591 325.26047431480623118 -8886.7161454239030718 5.9356052684468716407
17000 1204.0310288874641174 482.22838589608028315 0.048222838589608 24480.077736778282997 318.58121234977477343 -8885.1148931839998113 5.9521861171006715807
18000 1253.47427471257447 1131.3851766097968721 0.11313851766098 24501.570059027129901 331.66367353188098832 -8880.484257395084569 5.9469649699739566273
19000 1295.5350730234613366 -1442.7352473604585157 -0.144273524736046 24542.270206619134115 342.79277219860153991 -8878.394971371129941 5.9371027058083027939
20000 1293.1256904707768172 -226.00369952155941178 -0.0226003699521559 24516.882276185908268 342.15526037686890959 -8879.2548639650794939 5.9432507448930422811
21000 1294.4777256404449872 1949.8266234671466464 0.194982662346715 24523.118593342285749 342.51300282133934161 -8871.2743800251464563 5.9417393548777823753
22000 1344.6044087866557675 167.96738303869634024 0.0167967383038696 24547.017346308617562 355.7762984546327516 -8871.6783959245949518 5.935954531449779914
23000 1356.9649470432798353 -2212.7777678392885718 -0.221277776783929 24650.690167695927812 359.04684146275576495 -8848.4829709352052305 5.9109898286477209339
24000 1363.1691339037295165 -3666.8383393845165301 -0.366683833938452 24627.831217631570325 360.68844149151328793 -8866.2330187118077447 5.9164762647098267934
25000 1361.6567993322237271 -5636.2333195609335235 -0.563623331956093 24696.33731493918458 360.28828454396852976 -8856.7234500832237245 5.9000643290636753946
26000 1392.3075033764139334 -4863.9449951368242182 -0.486394499513682 24727.126369948895444 368.39832342128460141 -8843.8106558130111807 5.8927178464004459357
27000 1378.7460380725869982 -3902.5114119250974909 -0.39025114119251 24742.365197926974361 364.81002050044986618 -8828.5538390022338717 5.8890885202278564492
28000 1391.2781435079120911 -1284.4371086215255673 -0.128443710862153 24672.561375656954624 368.12595941488979179 -8839.1538225683816563 5.9057499799822519293
29000 1388.0618849682532527 2765.2010100867278197 0.276520101008673 24654.743312601156504 367.27495182437809262 -8819.6820043677362264 5.9100180846711127813
30000 1413.627521963434674 4212.9970777964026638 0.42129970777964 24607.083744351646601 374.03950475782278318 -8828.3480213883303804 5.9214647442260801569
31000 1434.8347634868277964 4003.0105156499334953 0.400301051564993 24643.601096268757829 379.65084578892555101 -8817.7186333072386333 5.9126902063212929406
32000 1469.2263799682100398 1150.1548566637179647 0.115015485666372 24703.204916957874957 388.7507133259201737 -8820.837189467591088 5.8984240846568143368
33000 1511.3872077487317256 4932.9271129319722604 0.493292711293197 24672.655459973353572 399.906279341855452 -8810.8599382675565721 5.9057274595668642903
34000 1502.1741247798424865 10729.818479646308333 1.07298184796463 24584.96107892222426 397.46853889224274781 -8802.2614173654837941 5.9267931473489516847
35000 1504.1975655447270128 6238.6507367855401753 0.623865073678554 24683.691544556917506 398.00393224717191742 -8796.6501858144165453 5.9030870073616652505
36000 1512.3083889775459738 1225.8818486386467157 0.122588184863865 24823.585958859093807 400.15001976517385174 -8776.9975228392559075 5.8698198999889363847
37000 1493.9582718944177486 2949.002061795469217 0.294900206179547 24740.232470264178119 395.29466105194779857 -8794.3387138092057285 5.8895961881331917454
38000 1517.9968148125408334 4664.5587639014011074 0.46645587639014 24729.665607663097035 401.65515173884807609 -8791.0925945567250892 5.8921127831686126441
39000 1548.1245053066711534 -1123.4792177793551673 -0.112347921777936 24859.919008972414304 409.62680357558491551 -8784.8477180178597337 5.8612410924511699761
40000 1592.987614937659373 -163.12292411494118483 -0.0163122924114941 24863.717155894217285 421.49738125432418201 -8776.9921604500159447 5.8603457373973055766
41000 1650.498922358036225 1057.2953283344447755 0.105729532833444 24877.960494870931143 436.71461536392519065 -8767.5910073095947155 5.8569905230148568975
42000 1562.0698824935634548 3194.1827770306808816 0.319418277703068 24810.131188611128891 413.3166878595307594 -8772.8315632579851808 5.8730031591805476054
43000 1584.0282900260133374 -1860.4360509801017542 -0.18604360509801 24964.970443745998637 419.12678404901373597 -8748.1649477438077156 5.8365772624777507716
44000 1588.8943521199569204 -2729.7555053734231478 -0.272975550537342 24971.809121311933268 420.41432226361456514 -8751.8446093967359047 5.8349788812874727739
45000 1591.6504550041765924 -1823.1333719990220743 -0.182313337199902 24988.136043094804336 421.14357473066007742 -8742.640002015785285 5.8311663822825403614
46000 1668.4996328247577821 -2127.0617561079743609 -0.212706175610797 25032.4597434715688 441.47752265290449714 -8734.7375609350765444 5.8208414332274323044
47000 1637.3337115163369617 2444.5894165057488863 0.244458941650575 24997.741840169524949 433.23115959728727375 -8724.0866313074875507 5.8289256598470737813
48000 1690.0635553564329712 2728.6055970392876588 0.272860559703929 24979.619130241924722 447.18323987973178646 -8726.3631153323367471 5.8331545445379209269
49000 1669.0074388140387782 4697.5570733492149884 0.469755707334922 24977.200831812497199 441.61188584108009536 -8709.180782981304219 5.8337193119259298513
50000 1710.3440978381347577 1103.0948141385906638 0.110309481413859 24949.328210660278273 452.54938049896622942 -8739.1220215127468691 5.8402365634894497504
51000 1694.7617248230812947 4376.9379807637969861 0.43769379807638 24943.328970178139571 448.42635445784401327 -8722.9346167771655018 5.8416412269832020954
52000 1756.744751646357372 -2510.8517455352084653 -0.251085174553521 25193.430722706336383 464.82678547390679569 -8693.05144314048448 5.7836497321133633065
53000 1741.6644306782457079 -374.77471560209033896 -0.037477471560209 25107.53244526823255 460.83660015361317619 -8702.4500076903277659 5.8034368438248273847
54000 1749.8518150069530748 1262.6291963941464473 0.126262919639415 25083.416467432009085 463.0029453414305749 -8702.2284266528477019 5.8090164487594790899
55000 1710.1219516672579175 2867.0572528052575763 0.286705725280526 25195.15674080610188 452.49060161807460645 -8651.9483849520474905 5.7832535177050532482
56000 1817.0364141247314365 -993.80951124808086661 -0.0993809511248081 25241.164191974145069 480.77968906700766638 -8670.5922631895628001 5.7727122941788886479
57000 1781.7733245034933134 -4427.6266630306317893 -0.442762666303063 25253.983887477384997 471.44923364418258416 -8682.2142828460291639 5.7697818886567766583
58000 1828.3194648180610784 -2612.4661165764368889 -0.261246611657644 25259.403741428497597 483.76513369645914509 -8677.0902129309870361 5.7685438794192460676
59000 1799.340309136091264 -274.38342655172493778 -0.0274383426551725 25215.276149899367738 476.09737902192591719 -8668.5696080855486798 5.7786390275554664342
60000 1821.0054133829776219 -1708.5776746204321626 -0.170857767462043 25338.606915518688766 481.82986847698174415 -8639.6834086068483884 5.7505126203744296731
61000 1897.2920220330763641 -717.38717308457842137 -0.0717387173084578 25222.975406583198492 502.01496311881822976 -8678.8426839333169482 5.7768751109501019769
62000 1835.8525600601785754 4795.2853186526390346 0.479528531865264 25231.708062786878145 485.75835692526379717 -8641.3691129256076238 5.7748757431645358906
63000 1896.2953814835705089 -3223.5598160777576595 -0.322355981607776 25338.138785149199975 501.75125649754295409 -8649.2605369090488239 5.7506188629686665337
64000 1905.2646608376107906 1914.6270820299000661 0.19146270820299 25304.122278304337669 504.12448760368334888 -8627.4905752002323425 5.7583494597371647217
65000 1921.380713521944017 -341.31028919659405574 -0.0341310289196594 25347.889855626563076 508.38872289271228055 -8633.6442864173550333 5.7484066595016072299
66000 1971.0421836592670388 618.81528698463284854 0.0618815286984633 25417.584669596457388 521.52892524948993014 -8607.7526944600795105 5.7326445743953655665
