step temp press pressGiga vol ke pe density
0 704.88973540964400399 2120.8198214724284298 0.212081982147243 23921.326052625448938 186.51066383830337259 -9042.3182041108902922 6.0912166210955058787
100 738.16356868558364113 4106.6754470426376429 0.410667544704264 23913.817004004686169 195.31477095036677838 -9039.1890452582338185 6.0931292911539802759
200 769.50046962507713033 -5539.046200065413359 -0.553904620006541 24095.524766953447397 203.60637444983251498 -9028.4517029729231581 6.0471801406971446013
300 818.63200136395744266 -354.92446459959887761 -0.0354924464599599 24050.074337115980597 216.60635748219411312 -9019.9837368028238416 6.0586082524296358542
400 842.71734224008082492 5300.8351214827598596 0.530083512148276 24013.971742127294419 222.97923069897746018 -9002.8860149591455411 6.067716761520984825
500 888.53513686351527667 -4177.3602135438450205 -0.417736021354384 24203.655743478600925 235.10241374668859748 -8990.1229035810611094 6.0201640774723452765
600 937.99328667087172562 -1765.2970676773536525 -0.176529706767735 24215.25268181737556 248.18881845567977962 -8978.8627905043649662 6.017280957790995366
700 979.36780434302750109 4269.0804203740426601 0.426908042037404 24149.930095815157983 259.1363303421151727 -8967.2160327487581526 6.0335569615436037694
800 1017.1024543094383716 -2112.4069517557786639 -0.211240695175578 24286.99082439094127 269.12074955181077485 -8958.0407472860315465 5.9995073042998505741
900 1043.9684017244280767 -4639.5820090822971906 -0.46395820090823 24355.237573912050721 276.22935879280458948 -8950.5091074168740306 5.9826958537441310426
1000 1049.7211155455734115 3617.3036243240931071 0.361730362432409 24249.662927368011879 277.75150107939936106 -8945.5227462883340195 6.0087424425990505483
1100 1034.6748827884277944 561.52600945037443125 0.0561526009450374 24288.301042648490693 273.77033534690360739 -8945.3307185202447727 5.9991836643716140998
1200 1020.4527183696960719 -3926.8932893763849279 -0.392689328937638 24341.510265727025399 270.00721440230142889 -8951.4156134160712099 5.9860697738035302251
1300 992.70156406483056344 2503.1422151971382846 0.250314221519714 24224.520817873424676 262.66438338679267872 -8953.369937142728304 6.0149787872331659244
1400 1016.040594034086439 1447.3171233842551828 0.144731712338426 24223.240120284659497 268.83978608346876626 -8962.7618485029997828 6.0152968028574607118
1500 1012.428044236767164 -4056.2835055941532119 -0.405628350559415 24315.96251826421576 267.88392160282711529 -8957.7613415058403916 5.9923590826787602737
1600 1037.068503289825685 1099.2665354113210014 0.109926653541132 24252.745219133252249 274.40367660052993415 -8955.2931947599263367 6.0079787889514753019
1700 1023.8216146862863525 2658.0989692252187524 0.265809896922522 24256.854127255435742 270.89860926428576704 -8942.9680183118744026 6.0069610876158314738
1800 1036.9745520538554047 -3255.7764117846777481 -0.325577641178468 24358.99694073817227 274.3788175246929768 -8941.3765791164714756 5.9817725337741798342
1900 1049.5009547700688017 -545.67095523185423644 -0.0545670955231854 24300.68591346904941 277.69324752522231847 -8945.8624646015705366 5.996126173937944337
2000 1021.264734920085175 3994.1005108156409733 0.399410051081564 24239.736679141711647 270.22207034111391977 -8944.5825587514955259 6.0112030414827186675
2100 994.77499445356431806 -1591.2423699825710628 -0.159124236998257 24309.584519628791895 263.21300377207961674 -8944.2780822393942799 5.9939312715420314248
2200 1011.1196021256774884 62.190504888688465712 0.00621905048886885 24279.827328642866632 267.53771368622085447 -8951.5023160374294093 6.0012773928792801925
2300 1028.6289309255948865 1535.2093136795238024 0.153520931367952 24243.430246052615985 272.17060358911874118 -8953.4800778599055775 6.0102872147856167828
2400 1016.7551776091704596 -457.90675854622048746 -0.045790675854622 24298.511984940407274 269.02886169382554726 -8944.2125799592067779 5.9966626327037744204
2500 1047.0813275713621806 -914.98508939421606101 -0.0914985089394216 24312.762424385738996 277.05302501608093735 -8945.0271919423321378 5.9931478088335037313
2600 1042.5564061114168908 1717.1397553981003057 0.17171397553981 24282.972570250654826 275.85575108383937959 -8939.9699316139995062 6.0005000799987673332
2700 1042.0538580814093166 -250.69805549277162982 -0.0250698055492772 24311.718419693839678 275.72277912811517808 -8939.899987121916638 5.9934051692686507451
2800 1047.9616928709540389 -1397.8693151205657159 -0.139786931512057 24320.664776983710908 277.28596572751240501 -8945.6228384106343583 5.9912004949919026586
2900 1031.1704725511820016 1761.2044394388067303 0.176120443943881 24271.601501541674224 272.84308410904776565 -8945.9907243503348582 6.0033112706280125082
3000 1058.3261331386395341 -547.38281101474899515 -0.0547382811014749 24285.905180681696947 280.02835015663885088 -8955.1210137432299234 5.9997754980243609424
3100 1029.5313254585055347 -1282.0504064432600444 -0.128205040644326 24308.546194724513043 272.40937313692529642 -8946.1827110607100622 5.9941872987048219201
3200 1017.4566015946439848 1745.6549093513970092 0.17456549093514 24282.993408050999278 269.21445533576843445 -8938.1383468817748508 6.0004949308303547895
3300 1040.2302685484255562 530.80152608472849352 0.0530801526084728 24317.13977897753648 275.24026551317689382 -8938.0264616937893152 5.9920689758244094492
3400 1088.9597272327969222 -2651.0300234341871146 -0.265103002343419 24345.939128427973628 288.13386181788337126 -8946.5950007014107541 5.984980825005680849
3500 1055.5746790400949067 1997.0287060963619297 0.199702870609636 24289.960788482912903 279.30032773744170527 -8938.1055594217359612 5.9987737369870632875
3600 1049.8241715693770857 -86.062020207906002156 -0.0086062020207906 24315.419212469925696 277.77876924127855318 -8940.1591005282098195 5.9924929764596006621
3700 1032.0839706457950342 -1758.8222859311354114 -0.175882228593114 24327.208808970208338 273.08479160950145115 -8940.8814024117982626 5.9895888589022598936
3800 1040.2341487290300392 1929.6259792011653644 0.192962597920117 24265.04098451700338 275.24129219156930048 -8945.4175270365012693 6.0049343804270209901
3900 1032.6567700490659263 1266.971762681596374 0.12669717626816 24291.974944591183885 273.23635176364126664 -8940.6351869409772917 5.9982763518715236373
4000 1042.2419256866778596 -1419.9133465438615076 -0.141991334654386 24348.79675548738669 275.77254097332740912 -8933.2843673768766166 5.9842784148074512629
4100 1086.6141152799714291 647.80336616252725435 0.0647803366162527 24311.000671270307066 287.51322341097801427 -8942.3859543807739101 5.9935821162059665923
4200 1072.316306525685377 928.5852233489106311 0.0928585223348911 24305.914828749908338 283.7300873143157105 -8940.2908751394261344 5.9948362313047347527
4300 1065.8985830980318497 -2389.3285293616204399 -0.238932852936162 24345.182716617215192 282.03198646719999942 -8943.9320422840391984 5.9851667800767884842
4400 1045.0117113036324099 -122.75134975401418558 -0.0122751349754014 24296.577394002826622 276.50541383011221797 -8944.5169977369369008 5.9971401110332029916
4500 1053.2997324802938692 2716.5168682475627975 0.271651686824756 24255.535569451982155 278.69838707672460032 -8946.9561697815734078 6.0072876326799260482
4600 1059.8676161357705041 -1287.0145719046533941 -0.128701457190465 24347.535301844098285 280.43621964692624715 -8936.959659036643643 5.9845884621989133834
4700 1054.0420460907448614 -2010.996007606649755 -0.201099600760665 24373.251471434996347 278.89479993012071191 -8930.4697745618577756 5.9782741347073189431
4800 1070.1242704192486599 2503.4569029667795803 0.250345690296678 24287.043643522822094 283.1500843878559408 -8933.1389029280635441 5.9994942566530413686
4900 1074.5597289133982031 -26.225928172876109556 -0.00262259281728761 24327.815275639641186 284.32368682042692853 -8935.3688158564655168 5.9894395447955339762
5000 1058.3441695405481369 -2797.0024514306883248 -0.279700245143069 24369.9154878282352 280.03312250772330572 -8935.8237317818438896 5.9790924971887235984
5100 1042.019572138668309 2305.004870702383414 0.230500487070238 24283.801388240579399 275.71370722137612574 -8936.6231343980725796 6.000295280003276055
5200 1049.8327517126749626 1838.6225223112073763 0.183862252231121 24278.785501861348166 277.78103950872883843 -8941.4933616792477551 6.0015349136482125658
5300 1054.4646217996546511 -3415.5132022665884506 -0.341551320226659 24362.104085266000766 279.00661156821314535 -8940.1561476788174332 5.9810096180699376944
5400 1038.2426305635451627 1886.4297145933212505 0.188642971459332 24318.328171729175665 274.71434541332638446 -8926.616523178639909 5.9917761542419398779
5500 1079.3564607365167376 2718.8071253851449001 0.271880712538514 24300.797986788707931 285.59288055618793578 -8932.8015721856627351 5.9960985202878145373
5600 1087.9355508088440274 -2466.9011623056717326 -0.246690116230567 24384.417555858359265 287.86286932767779945 -8933.3322252199523064 5.9755365702958949115
5700 1097.1390995949773242 -1411.1928035750834169 -0.141119280357508 24362.077728087748255 290.29808707527683964 -8933.9039943265270267 5.9810160888865242512
5800 1096.7421517577681698 2792.0919130543470601 0.279209191305435 24300.839691675409995 290.19305645714183584 -8931.3069380835040647 5.9960882298364301946
5900 1103.6383913041215692 -2563.4651589486061312 -0.256346515894861 24384.753675573934743 292.01777052398927026 -8931.2432953842071583 5.9754542034334230394
6000 1093.6021173586666464 -2353.4469442560061907 -0.235344694425601 24391.404808278970449 289.36221743249473093 -8928.9869455290099722 5.9738247958944850069
6100 1099.9980212181505976 2614.0614959866506979 0.261406149598665 24289.101477261898253 291.05454491969391029 -8934.4864635221820208 5.9989859644171126263
6200 1096.6137937544506258 -952.67822019869629457 -0.0952678220198696 24337.054160625844816 290.15909350491671148 -8940.5911289083051088 5.9871658208386016042
6300 1062.9277736186609218 -3878.1707328609177239 -0.387817073286092 24397.295271232935193 281.24592359764693583 -8932.6591496075143368 5.9723824805368836977
6400 1098.753359814095802 4027.5609714909446666 0.402756097149094 24269.953757804221823 290.72521309222832997 -8935.2633436498454103 6.0037188494247777371
6500 1090.4809070387009342 947.05097120877212546 0.0947050971208772 24325.571937045166123 288.53635917479505224 -8929.9095618510255008 5.9899918993681167123
6600 1078.1041840827417673 -7094.3110792798524926 -0.709431107927985 24470.746836457550671 285.26153376778694337 -8924.9805759934133675 5.9544557354216935963
6700 1086.0447561815274184 4368.7745972668308241 0.436877459726683 24283.866806876692863 287.36257354607192838 -8924.5966304231405957 6.0002791157269426137
6800 1130.6911707962526634 4898.8855347644466747 0.489888553476445 24263.247110094926029 299.17581469499197055 -8931.9529161133141315 6.0053783481343305795
6900 1125.2298363424661147 -9051.1209977782946225 -0.905112099777829 24504.520175459630991 297.73077008269268617 -8927.9374176259861997 5.9462490106751841878
7000 1122.4831112539918649 -692.43324411483138192 -0.0692433244114831 24378.082365959566232 297.0039989383591319 -8924.6344093267834978 5.977089447111707976
7100 1113.3024214330253017 8510.3429579899093369 0.851034295798991 24225.121612287981407 294.57482957046227057 -8922.2358796543649078 6.0148296129290352852
7200 1082.9323739748383559 -6016.1282004346130634 -0.601612820043461 24454.383400615704886 286.53905116756726557 -8921.5508792892142083 5.9584401071722910004
7300 1063.0248893119774038 -2350.2882968484273079 -0.235028829684843 24408.726102674263529 281.27161997471085897 -8920.3264832884706266 5.9695855587659156782
7400 1102.1645206800760661 8416.859049666511055 0.841685904966651 24213.9626837940923 291.62779096450151428 -8929.7145353244122816 6.0176015282255983507
7500 1079.7133339607526068 -1441.9874346870653881 -0.144198743468707 24395.056119605163985 285.68730761139204333 -8919.3137919918845 5.972930668247024677
7600 1102.6813575442054116 -5129.2914964172878172 -0.512929149641729 24471.901078198716277 291.76454368167486564 -8913.7406036014544952 5.9541748875491160575
7700 1124.6444001842121452 5326.1518729187791905 0.532615187291878 24299.230780900801619 297.57586629983734383 -8918.8715375748033694 5.9964852453241030972
7800 1119.6208039215573535 -408.30917541179206864 -0.0408309175411792 24369.51895861596131 296.2466452504502854 -8923.1959625088729808 5.9791897861357030663
7900 1079.0376031989546846 -3505.9063540802476382 -0.350590635408025 24438.951613019326032 285.50851228124633963 -8918.024352313575946 5.9622025182444025049
8000 1066.1231743624966839 3905.7676235776043541 0.39057676235776 24313.868834510252782 282.0914123088932115 -8915.2173836368656339 5.9928750887880619658
8100 1098.1156364695714274 2512.2947514967459028 0.251229475149675 24329.192003817515797 290.55647435429892766 -8921.1706366261605581 5.9891006173790515277
8200 1109.7992656256337796 -3437.124884411572566 -0.343712488441157 24447.001796124925022 293.64791024912204875 -8917.1346271623187931 5.960239217288941127
8300 1117.1255439239896532 1031.4414384619078646 0.103144143846191 24389.140551300628431 295.58641064180608282 -8909.4940072242225142 5.9743793982369961526
8400 1129.5811360057632555 2562.607124452343669 0.256260712445234 24358.116146528336685 298.88210446591978098 -8914.7974177961441455 5.9819888358305739473
8500 1139.2922186639939355 -3595.0894261364228441 -0.359508942613642 24429.684559417022683 301.45161340070745837 -8923.357337776258646 5.9644641950249601692
8600 1124.4610953051153501 227.04439834930161624 0.0227044398349302 24371.742175661293004 297.52736465061798299 -8924.2184794974127726 5.9786443578871200089
8700 1110.9636620501767084 3032.6099844489458519 0.303260998444895 24324.491424191335682 293.95600432285152692 -8922.0197582385626447 5.9902579794735038021
8800 1139.1582480444139946 -2882.5124954628658998 -0.288251249546287 24412.692372484223597 301.41616537538169496 -8925.946127635481389 5.9686156949500599467
8900 1147.3208995436673376 -1142.1475886325392821 -0.114214758863254 24419.29612389571048 303.57596636740737495 -8915.9081545667831961 5.9670015921470893616
9000 1143.3136279925931831 1492.3750177778433681 0.149237501777784 24371.402456680836622 302.51566028033283828 -8915.2589766415949271 5.9787276956831085784
9100 1158.370380576550815 -1219.3539193911587972 -0.121935391939116 24397.752038088281552 306.4996095118407311 -8924.5659711166881607 5.972270667515736875
