step temp press pressGiga vol ke pe density
0 300 -79187.926086465551634 -7.91879260864656 10404.736863237551006 33.465451540500005478 -3881.4006147741188215 5.9080203695207327286
1000 300.91492461398649993 -2374.6849693049812231 -0.237468496930498 9940.9835837018254097 33.567512758275256601 -3866.8021636633416165 6.183633320579324355
2000 302.45623246970575337 157.59637508954588725 0.0157596375089546 9941.4186305469484068 33.739447969457138754 -3863.0120859734647638 6.1833627183375829972
3000 302.79147762926515952 -1625.8874354187094013 -0.162588743541871 9949.069334891233666 33.776845071595211323 -3862.7655069439397266 6.17860779318638631
4000 310.09800515693586931 257.03826881211114141 0.0257038268812111 9938.0564769903248816 34.591899214617193081 -3863.1699874686555631 6.1854546177953375619
5000 306.04247835033726233 2301.3266079103286756 0.230132660791033 9929.6623500010100543 34.139499095225772862 -3862.5645971535750505 6.190683546002389015
6000 302.82432083525827693 1182.2707627817151206 0.118227076278172 9935.6221719774475787 33.780508780657200418 -3861.839802527694701 6.1869701024748469109
7000 310.85209765156594131 802.65326344440472894 0.0802653263444405 9934.1972664091845218 34.676019367404180116 -3862.3359847255942441 6.1878575267843585195
8000 315.11419868404686895 760.33036708240513235 0.0760330367082405 9937.5101314784387796 35.151463152614866203 -3862.437329018888704 6.1857946823914682355
9000 317.5064813707752478 242.01137123688098995 0.0242011371236881 9938.5118606725773134 35.418325887027819476 -3862.4107347192721136 6.185171199599561298
10000 308.54585515533483431 -783.23656714696176095 -0.0783236567146962 9947.9900601914123399 34.418754545743297513 -3861.0716059451428919 6.1792781210647769186
11000 316.2017491048641773 -986.40983131657912963 -0.0986409831316579 9948.3913714977607015 35.272781038967238487 -3861.6855055952605653 6.1790288532100605678
12000 314.96709578136506025 -741.64444711365058538 -0.0741644447113651 9947.4429214232441154 35.135053602410984297 -3861.1215731088495886 6.1796179996291513703
13000 306.06362506830822667 143.58194369541476476 0.0143581943695415 9945.8473328378768201 34.141858043444102577 -3859.9114008537512746 6.1806093810180033898
14000 306.29935934037257539 337.78371533286849626 0.0337783715332868 9944.1518186272642197 34.168154556304784819 -3859.576533442103937 6.181663197494953188
15000 320.30831998076189393 -402.35238749708520345 -0.0402352387497085 9946.7498529184795188 35.73087520111718618 -3860.9185434958444603 6.1800485823491708715
16000 324.05621694377072117 134.3680467999755308 0.0134368046799976 9945.0079086621335591 36.14895874843171697 -3860.9219338508446526 6.1811310651617370482
17000 325.65986065002340411 594.72539577849670422 0.0594725395778497 9939.4166171031756676 36.327847617564472671 -3860.6861060532887677 6.1846081813025355345
18000 332.30785665015127961 1448.9450648177869425 0.144894506481779 9937.3524038764098805 37.069441577510197305 -3861.1740842527624409 6.1858928645351864972
19000 330.89533842273442588 486.77571622735104029 0.0486775716227351 9942.9169572840219189 36.911873043211222978 -3860.674192320045222 6.1824309296355641763
20000 328.51053655257692299 -926.63538060868552293 -0.0926635380608685 9953.6371116609825549 36.645844805146388978 -3860.0458504195262321 6.1757723973576545973
21000 324.57591425423129294 393.98699676429293959 0.0393986996764293 9947.3240038218536938 36.206931765628205255 -3859.4631873699190692 6.1796918753116711898
22000 327.88436468229207321 20.049290231496168957 0.00200492902314962 9948.3436904424706881 36.575994390542923895 -3859.4205169711422059 6.1790584684531157933
23000 330.08300726592403862 -635.55386224299581954 -0.0635553862242996 9954.4836574780365481 36.821256280000973504 -3859.3407893085086471 6.1752471994197248861
24000 332.67866102875927936 1000.503376685270041 0.100050337668527 9945.6273161945409811 37.110805364054563427 -3859.3506566143269083 6.1807461081330004049
25000 329.89291641377781161 1368.118980196231405 0.136811898019623 9944.7031271731248125 36.800051359331668266 -3858.7378582438959711 6.1813205021218662338
26000 335.44666615840606028 1437.1472646874556176 0.143714726468746 9942.3197004583471426 37.419580502488066998 -3859.0117857938175803 6.182802321743566587
27000 343.58252778420768436 -705.57773668124286814 -0.0705577736681243 9953.9217648062822263 38.327148112416324466 -3859.5719662905412406 6.1755957882703924611
28000 345.39172820352877125 -981.29782754110294718 -0.0981297827541103 9957.2532643912963977 38.528967142282468217 -3859.422156494349565 6.1735295563227312599
29000 335.08848528024009283 735.86976537307350554 0.0735869765373073 9949.5839058925485006 37.379624886418078233 -3858.0159736458481348 6.1782882489291646166
30000 345.53741517665736183 -611.94044572258553671 -0.0611940445722586 9954.1269216494783905 38.545218743413521167 -3858.8672730118014442 6.1754685078221172034
31000 347.39773510138905976 -1522.7772379767509392 -0.152277723797675 9960.6111823813043884 38.752740231049976671 -3858.6040709433286793 6.171448338054148941
32000 351.99539404697856071 -76.08153559066049354 -0.00760815355906605 9955.0588403044530423 39.265616006527878312 -3858.9286524337621813 6.1748904063364333794
33000 341.62012460004655168 1420.5228735024359139 0.142052287350244 9949.1788180002004083 38.108239083541434411 -3857.4922765725323188 6.1785398023297872783
34000 342.65642371116854292 3340.2073422187013421 0.33402073422187 9934.5930231643524166 38.2238398091571554 -3857.1960326212824839 6.1876110258546743736
35000 344.36370231747486059 -358.36224522996394626 -0.0358362245229964 9959.5498035212149261 38.414289307375412363 -3857.1453293696763467 6.1721060228824153882
36000 345.01875475223602052 1157.0893777697856422 0.115708937776979 9951.1682144676142343 38.487361392415365913 -3856.9043315138205799 6.1773046141597536263
37000 357.65394828352560808 1045.8660288273686092 0.104586602882737 9949.5881826267468568 39.896836248502729916 -3857.9135241640206004 6.1782855932517479758
38000 350.80141530441301256 -1080.979876486211424 -0.108097987648621 9964.6121402577082335 39.132425880695500098 -3856.8444685197209765 6.1689703986733270824
39000 352.58246770484112176 -2071.4244199029822084 -0.207142441990298 9972.3637049795488565 39.331104956687561014 -3856.6424111524675027 6.1641752292704543592
40000 358.23938550868291486 -3688.6818511061874233 -0.368868185110619 9980.7901311543992051 39.962142652131092291 -3857.048150064814763 6.1589710353323257053
41000 363.08631227018491927 429.82048040743376305 0.0429820480407434 9953.5500212018614548 40.502824627655748202 -3857.3304601153490694 6.1758264334404966434
42000 359.15749234309043914 220.97831202835618569 0.0220978312028356 9958.5792197954197036 40.064558851383978322 -3856.4407579427784185 6.1727075690997494917
43000 364.29211240193518506 -1303.7030804295116013 -0.130370308042951 9967.497367340258279 40.637333447244472495 -3856.7579826553901512 6.1671847066575935514
44000 363.61141448045873403 -574.68932658224173338 -0.0574689326582242 9963.413487209178129 40.561400569561513407 -3856.2844745604684249 6.1697125594984454366
45000 360.70257409809869387 -673.19632757582382965 -0.0673196327575824 9967.1956218626382906 40.236915046711779098 -3855.7249721491170931 6.167371411139524362
46000 361.46527873980085133 391.53832367902083433 0.0391538323679021 9962.1441514781527076 40.321995897467104442 -3855.5636886883862644 6.1704986790810218977
47000 368.35089219255053195 550.89163307954447646 0.0550891633079545 9960.0983843041194632 41.090096441899135016 -3855.8947744848328512 6.1717660765662687439
48000 366.29885341515000619 -409.54418763467731424 -0.0409544187634677 9964.8618556510136841 40.861188427684716373 -3855.3521101122551045 6.1688158067791585282
