# Chunk-averaged data for fix 14 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
250000 50 864
  1 0.232819 27 0.126749
  2 0.932819 8 0.0375552
  3 1.63282 28 0.131443
  4 2.33282 5 0.023472
  5 3.03282 31 0.145526
  6 3.73282 6 0.0281664
  7 4.43282 30 0.140832
  8 5.13282 5 0.023472
  9 5.83282 30 0.140832
  10 6.53282 3 0.0140832
  11 7.23282 34 0.15961
  12 7.93282 0 0
  13 8.63282 35 0.164304
  14 9.33282 1 0.0046944
  15 10.0328 35 0.164304
  16 10.7328 1 0.0046944
  17 11.4328 35 0.164304
  18 12.1328 1 0.0046944
  19 12.8328 33 0.154915
  20 13.5328 4 0.0187776
  21 14.2328 33 0.154915
  22 14.9328 2 0.0093888
  23 15.6328 33 0.154915
  24 16.3328 3 0.0140832
  25 17.0328 31 0.145526
  26 17.7328 5 0.023472
  27 18.4328 22 0.103277
  28 19.1328 14 0.0657216
  29 19.8328 24 0.112666
  30 20.5328 12 0.0563328
  31 21.2328 19 0.0891936
  32 21.9328 17 0.0798048
  33 22.6328 16 0.0751104
  34 23.3328 20 0.093888
  35 24.0328 11 0.0516384
  36 24.7328 25 0.11736
  37 25.4328 7 0.0328608
  38 26.1328 28 0.131443
  39 26.8328 4 0.0187776
  40 27.5328 31 0.145526
  41 28.2328 4 0.0187776
  42 28.9328 33 0.154915
  43 29.6328 2 0.0093888
  44 30.3328 27 0.126749
  45 31.0328 8 0.0375552
  46 31.7328 24 0.112666
  47 32.4328 12 0.0563328
  48 33.1328 16 0.0751104
  49 33.8328 20 0.093888
  50 34.5328 9 0.0422496
