# Chunk-averaged data for fix 14 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
30000 66 2048
  1 0.583975 30 0.0819445
  2 1.28397 22 0.0600926
  3 1.98397 42 0.114722
  4 2.68397 18 0.0491667
  5 3.38397 46 0.125648
  6 4.08397 15 0.0409722
  7 4.78397 49 0.133843
  8 5.48397 11 0.0300463
  9 6.18397 53 0.144769
  10 6.88397 3 0.00819445
  11 7.58397 61 0.16662
  12 8.28397 3 0.00819445
  13 8.98397 61 0.16662
  14 9.68397 1 0.00273148
  15 10.384 63 0.172083
  16 11.084 0 0
  17 11.784 64 0.174815
  18 12.484 0 0
  19 13.184 64 0.174815
  20 13.884 0 0
  21 14.584 64 0.174815
  22 15.284 0 0
  23 15.984 64 0.174815
  24 16.684 0 0
  25 17.384 64 0.174815
  26 18.084 0 0
  27 18.784 64 0.174815
  28 19.484 0 0
  29 20.184 63 0.172083
  30 20.884 1 0.00273148
  31 21.584 63 0.172083
  32 22.284 1 0.00273148
  33 22.984 62 0.169352
  34 23.684 2 0.00546297
  35 24.384 63 0.172083
  36 25.084 1 0.00273148
  37 25.784 62 0.169352
  38 26.484 2 0.00546297
  39 27.184 58 0.158426
  40 27.884 6 0.0163889
  41 28.584 55 0.150232
  42 29.284 9 0.0245833
  43 29.984 51 0.139306
  44 30.684 13 0.0355093
  45 31.384 39 0.106528
  46 32.084 25 0.0682871
  47 32.784 34 0.0928704
  48 33.484 30 0.0819445
  49 34.184 36 0.0983334
  50 34.884 28 0.0764815
  51 35.584 34 0.0928704
  52 36.284 30 0.0819445
  53 36.984 18 0.0491667
  54 37.684 46 0.125648
  55 38.384 13 0.0355093
  56 39.084 51 0.139306
  57 39.784 9 0.0245833
  58 40.484 55 0.150232
  59 41.184 5 0.0136574
  60 41.884 59 0.161157
  61 42.584 6 0.0163889
  62 43.284 58 0.158426
  63 43.984 1 0.00273148
  64 44.684 63 0.172083
  65 45.384 0 0
  66 46.084 34 0.0928704
