# Chunk-averaged data for fix ini and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
0 93 32
  1 0.25 1 0.239809
  2 0.75 0 0
  3 1.25 1 0.239809
  4 1.75 0 0
  5 2.25 0 0
  6 2.75 1 0.239809
  7 3.25 0 0
  8 3.75 0 0
  9 4.25 1 0.239809
  10 4.75 0 0
  11 5.25 0 0
  12 5.75 1 0.239809
  13 6.25 0 0
  14 6.75 0 0
  15 7.25 1 0.239809
  16 7.75 0 0
  17 8.25 0 0
  18 8.75 1 0.239809
  19 9.25 0 0
  20 9.75 0 0
  21 10.25 1 0.239809
  22 10.75 0 0
  23 11.25 0 0
  24 11.75 1 0.239809
  25 12.25 0 0
  26 12.75 1 0.239809
  27 13.25 0 0
  28 13.75 0 0
  29 14.25 1 0.239809
  30 14.75 0 0
  31 15.25 0 0
  32 15.75 1 0.239809
  33 16.25 0 0
  34 16.75 0 0
  35 17.25 1 0.239809
  36 17.75 0 0
  37 18.25 0 0
  38 18.75 1 0.239809
  39 19.25 0 0
  40 19.75 0 0
  41 20.25 1 0.239809
  42 20.75 0 0
  43 21.25 0 0
  44 21.75 1 0.239809
  45 22.25 0 0
  46 22.75 0 0
  47 23.25 1 0.239809
  48 23.75 0 0
  49 24.25 0 0
  50 24.75 1 0.239809
  51 25.25 0 0
  52 25.75 1 0.239809
  53 26.25 0 0
  54 26.75 0 0
  55 27.25 1 0.239809
  56 27.75 0 0
  57 28.25 0 0
  58 28.75 1 0.239809
  59 29.25 0 0
  60 29.75 0 0
  61 30.25 1 0.239809
  62 30.75 0 0
  63 31.25 0 0
  64 31.75 1 0.239809
  65 32.25 0 0
  66 32.75 0 0
  67 33.25 1 0.239809
  68 33.75 0 0
  69 34.25 0 0
  70 34.75 1 0.239809
  71 35.25 0 0
  72 35.75 0 0
  73 36.25 1 0.239809
  74 36.75 0 0
  75 37.25 0 0
  76 37.75 1 0.239809
  77 38.25 0 0
  78 38.75 1 0.239809
  79 39.25 0 0
  80 39.75 0 0
  81 40.25 1 0.239809
  82 40.75 0 0
  83 41.25 0 0
  84 41.75 1 0.239809
  85 42.25 0 0
  86 42.75 0 0
  87 43.25 1 0.239809
  88 43.75 0 0
  89 44.25 0 0
  90 44.75 1 0.239809
  91 45.25 0 0
  92 45.75 0 0
  93 46.25 0 0
