step temp press pressGiga vol ke pe density
0 299.99999999999971578 -2662.7607796368952222 -0.26627607796369 23921.326052625448938 79.378655044499936366 -9042.3182041108902922 6.0912166210955058787
100 461.17545102150006642 -9022.0059725393057306 -0.902200597253931 23921.326052625448938 122.02495680542453727 -9084.9901141205227759 6.0912166210955058787
200 505.80704505947772986 -10452.088945266348674 -1.04520889452663 23921.326052625448938 133.83427649618050737 -9096.8077660835388087 6.0912166210955058787
300 519.69485703850557456 -10790.572967064488694 -1.07905729670645 23921.326052625448938 137.50892928420094563 -9100.4836363380891271 6.0912166210955058787
400 513.16995186721578648 -10379.640425173771291 -1.03796404251738 23921.326052625448938 135.78246862823465335 -9098.7550302502240811 6.0912166210955058787
500 503.57123701465388876 -10057.905064488826611 -1.00579050644888 23921.326052625448938 133.24269171106121235 -9096.2124681576024159 6.0912166210955058787
600 490.27858846127872994 -9281.8280468133416434 -0.928182804681334 23921.326052625448938 129.72551649724076128 -9092.6953559599223809 6.0912166210955058787
700 500.56246034687296742 -9951.0360087876124453 -0.995103600878761 23921.326052625448938 132.44658289366878989 -9095.4178734271299618 6.0912166210955058787
800 507.53888666826338749 -10088.865160240209661 -1.00888651602402 23921.326052625448938 134.29251402169887797 -9097.2648790076855221 6.0912166210955058787
900 512.11305899645560658 -10448.482639291212763 -1.04484826392912 23921.326052625448938 135.50281951287777815 -9098.474104678056392 6.0912166210955058787
1000 510.17676971046324752 -10427.645658228489992 -1.04276456582285 23921.326052625448938 134.99048604854726818 -9097.9611160067925084 6.0912166210955058787
1100 511.08559608746929825 -10604.696146355347082 -1.06046961463553 23921.326052625448938 135.23095743346630115 -9098.2019703903042682 6.0912166210955058787
1200 495.94892579185494697 -9814.1804210528316617 -0.981418042105283 23921.326052625448938 131.22586233373993991 -9094.1960340256046038 6.0912166210955058787
1300 505.36559997024573931 -10121.469766523892758 -1.01214697665239 23921.326052625448938 133.71747210464974387 -9096.6898657299025217 6.0912166210955058787
1400 505.20146911355857355 -9986.5621418329210428 -0.998656214183292 23921.326052625448938 133.67404381579930828 -9096.6445678366962966 6.0912166210955058787
1500 509.42925299845524023 -10313.671186358293198 -1.03136711863583 23921.326052625448938 134.79269647780566288 -9097.7644677401658555 6.0912166210955058787
1600 508.64942043400299099 -9843.308194742354317 -0.984330819474235 23921.326052625448938 134.58635627738524931 -9097.5579737862753973 6.0912166210955058787
1700 511.62145363237902984 -10271.631299680067968 -1.02716312996801 23921.326052625448938 135.37274293750090237 -9098.3437740886565734 6.0912166210955058787
1800 508.6996466155379153 -10096.183372945135488 -1.00961833729451 23921.326052625448938 134.59964589984613781 -9097.5707822738659161 6.0912166210955058787
1900 499.57461189444927641 -9746.8705985679080186 -0.974687059856791 23921.326052625448938 132.18520262186487457 -9095.1557625520363217 6.0912166210955058787
2000 506.47719987072724734 -9873.2816326416177617 -0.987328163264162 23921.326052625448938 134.01159645480913696 -9096.985366733311821 6.0912166210955058787
2100 491.55587463353271005 -9547.9964239781929791 -0.954799642397819 23921.326052625448938 130.06348069210895346 -9093.0332869415615278 6.0912166210955058787
2200 503.94641357765783596 -10074.97688049801036 -1.0074976880498 23921.326052625448938 133.34196174764610987 -9096.3136795729897131 6.0912166210955058787
2300 506.77042729445832947 -10025.843808413412262 -1.00258438084134 23921.326052625448938 134.08918311653559385 -9097.0605385410926829 6.0912166210955058787
2400 513.58634883548427297 -10340.360277393345314 -1.03403602773933 23921.326052625448938 135.89264539925383701 -9098.8651346459701017 6.0912166210955058787
2500 512.2775689209858001 -10470.600704676277019 -1.04706007046763 23921.326052625448938 135.54634810138003331 -9098.5181108731267159 6.0912166210955058787
2600 499.25472372385888775 -9756.1354536904109409 -0.975613545369041 23921.326052625448938 132.10056164604449691 -9095.0713005494162644 6.0912166210955058787
2700 497.74201524647662609 -9623.0399072414111288 -0.962303990724141 23921.326052625448938 131.70030576468110439 -9094.6708540347244707 6.0912166210955058787
2800 497.10102849527288527 -9873.2650961857525544 -0.987326509618575 23921.326052625448938 131.53070354397476649 -9094.5006409212910512 6.0912166210955058787
2900 503.27296629482498247 -10015.316420728815501 -1.00153164207288 23921.326052625448938 133.16377061579729002 -9096.13512443601212 6.0912166210955058787
3000 500.22772197797212357 -9598.0111810769467411 -0.959801118107695 23921.326052625448938 132.35801262195167283 -9095.3286962969432352 6.0912166210955058787
3100 501.51609678107934087 -10125.120666051887383 -1.01251206660519 23921.326052625448938 132.69891081883125139 -9095.6696628076861089 6.0912166210955058787
3200 507.0906936519638748 -10358.037616769806846 -1.03580376167698 23921.326052625448938 134.17392415891822566 -9097.1459894724393962 6.0912166210955058787
3300 506.62065477140748726 -9976.9037365561125625 -0.997690373655611 23921.326052625448938 134.04955397839427178 -9097.0213402465633408 6.0912166210955058787
3400 510.89056158604824986 -10595.781684230560131 -1.05957816842306 23921.326052625448938 135.17935217876603815 -9098.1519329968614329 6.0912166210955058787
3500 503.99506457760918465 -10189.972373716749644 -1.01899723737167 23921.326052625448938 133.35483458412178948 -9096.3250185634988156 6.0912166210955058787
3600 502.39896413167105038 -10028.433586963044945 -1.0028433586963 23921.326052625448938 132.93251356174016564 -9095.9030654976049846 6.0912166210955058787
3700 503.18610204689485954 -10079.799965124833761 -1.00797999651248 23921.326052625448938 133.14078672522347802 -9096.1123288957223849 6.0912166210955058787
3800 502.2598432247551159 -10036.497158279304131 -1.00364971582793 23921.326052625448938 132.8957027934749533 -9095.8679736608810344 6.0912166210955058787
3900 497.37642888093472493 -9570.7041767235405132 -0.957070417672354 23921.326052625448938 131.60357325135001361 -9094.5744603619586997 6.0912166210955058787
