step temp press pressGiga vol ke pe density
0 299.99999999999977263 -79185.624667749914806 -7.91856246677499 24663.079972118644946 79.378655044499950577 -9200.3570127978964592 5.9080203695207922365
1000 296.20402036837452897 -1031.2637420362320881 -0.103126374203623 23566.532809289747092 78.37425585205085099 -9158.7251659653738898 6.1829196526083389784
2000 306.19659828152231285 199.55342581399665391 0.0199553425813997 23557.317141432125936 81.018247169294340893 -9155.4571251899942581 6.1853384226901235721
3000 300.27100023751404478 -370.76701892177345599 -0.0370767018921773 23552.50556164930822 79.45036049240202658 -9159.1366648326838913 6.1866020355667492581
4000 302.71646048590389455 -520.78769862990986894 -0.052078769862991 23567.591972778005584 80.097418310675266184 -9153.974790101088729 6.1826417827795312476
5000 304.55918608991925112 1942.7279048086850253 0.194272790480869 23521.000415259481088 80.584995244217950017 -9158.4498733108976012 6.1948886645087597458
6000 304.22699567597078385 -474.7614127670635753 -0.0474761412767064 23562.122375089504203 80.497099149958259545 -9155.7342519479207112 6.184076991487201802
7000 301.91406374708441263 -2445.5992933320712837 -0.244559929333207 23588.125624947871984 79.885107730876654841 -9157.6067627447846462 6.1772597436180900488
8000 313.93300958794071676 -895.28044571167583854 -0.0895280445711676 23569.139948449021176 83.065266917209527264 -9157.0024584118618804 6.1822357187872398754
9000 306.85151052068408717 921.52358726453519466 0.0921523587264535 23539.200436900100613 81.191534011683813787 -9157.1576588616553636 6.1900989050580284001
10000 312.79102423680325273 293.43280628500639295 0.0293432806285006 23557.876539838442113 82.763102713030150426 -9153.8352683392186009 6.1851915474634733272
11000 308.60892706028755583 1826.517936948736633 0.182651793694874 23526.921053735441092 81.656538549239428448 -9157.2583531410291471 6.1933296973962503884
12000 307.28634962660004248 383.86488457726471779 0.0383864884577265 23557.223105611497886 81.306590489645031994 -9153.6831951940621366 6.1853631133496218553
13000 307.80655842877627038 -2596.715101080315435 -0.259671510108032 23598.502111622034136 81.444235406508553865 -9155.4117591067952162 6.1745435435343170028
14000 308.2395111627659503 672.04825317225515846 0.0672048253172255 23551.290646233417647 81.558792758915018339 -9154.0861811897411826 6.1869211772349439471
15000 310.97477860323840559 -248.63817289215492679 -0.0248638172892155 23559.742328656662721 82.282532260954084791 -9155.7869874928019271 6.1847017177757450668
16000 308.64370173103543493 488.29168817827439852 0.0488291688178274 23555.399705172127142 81.665739771218028409 -9154.2170243509972352 6.1858419162551010473
17000 316.85070499242209507 -1613.5592841009695348 -0.161355928410097 23591.811909842344903 83.837276040667035204 -9152.6734574835754756 6.1762945299511970987
18000 311.271280310384725 -134.82835089114695393 -0.0134828350891147 23566.391575896544964 82.360985283392992073 -9153.7938252306084905 6.1829567068480439929
19000 309.56858086612152192 1839.9572728683947389 0.183995727286839 23547.426596406206954 81.910458643957554159 -9149.7909298168415262 6.1879364292247096557
20000 302.96525720600942577 -1276.9441880616527669 -0.127694418806165 23585.715406420593354 80.163248807413467034 -9152.7219523273633968 6.1778909962905368403
21000 312.37460635695066458 1058.7021870055730233 0.105870218700557 23555.377310022249731 82.652920408899561266 -9150.9813299769193691 6.1858477974114505216
22000 321.37119525430335898 1377.9405515319836013 0.137794055153198 23532.776383611617348 85.033377497766679198 -9158.1320159169881663 6.1917886982459995338
23000 320.05253530316662136 -1011.4275528028643976 -0.101142755280286 23586.898925431618409 84.684465986492412526 -9151.0828333316276257 6.1775810084678361989
24000 322.18230529499527393 -459.41259603219924657 -0.0459412596032199 23574.480920363137557 85.247993578177400309 -9153.4701854485483636 6.180835087848555176
25000 327.18753401376596912 -921.48424106550771739 -0.0921484241065508 23595.277504604033311 86.572354657797802702 -9149.9994322858256055 6.1753873766462419326
26000 322.52732104064801888 -3756.5365165537928078 -0.375653651655379 23629.106797315540462 85.339283197707686668 -9151.2487722469886648 6.1665462050791797211
27000 325.40125829009781455 2919.6458466825342839 0.291964584668253 23524.743175894698652 86.099714109519737804 -9152.5761212731085834 6.1939030645700174915
28000 320.45579177201790344 470.41240936442409293 0.0470412409364424 23559.361499995207851 84.791165840277116672 -9152.7375160609190061 6.1848016912693672964
29000 325.27621235242236253 -2425.725420145800399 -0.24257254201458 23607.60725531612843 86.066627515014886285 -9151.8285348176941625 6.1721621032807032492
30000 323.45518220452089508 -379.48723775239449196 -0.0379487237752394 23575.833230824882776 85.584791101895206111 -9152.9746023677507765 6.1804805549728865088
31000 333.86833927507791486 1764.5976708537682498 0.176459767085377 23550.194913987077598 88.340065778655002759 -9151.2049619112331129 6.1872090393551610887
