# Chunk-averaged data for fix 14 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
500000 50 864
  1 0.227358 8 0.0375317
  2 0.927358 28 0.131361
  3 1.62736 8 0.0375317
  4 2.32736 28 0.131361
  5 3.02736 4 0.0187659
  6 3.72736 32 0.150127
  7 4.42736 5 0.0234573
  8 5.12736 30 0.140744
  9 5.82736 2 0.00938293
  10 6.52736 35 0.164201
  11 7.22736 4 0.0187659
  12 7.92736 30 0.140744
  13 8.62736 3 0.0140744
  14 9.32736 35 0.164201
  15 10.0274 0 0
  16 10.7274 33 0.154818
  17 11.4274 3 0.0140744
  18 12.1274 33 0.154818
  19 12.8274 3 0.0140744
  20 13.5274 29 0.136052
  21 14.2274 7 0.0328403
  22 14.9274 22 0.103212
  23 15.6274 14 0.0656805
  24 16.3274 20 0.0938293
  25 17.0274 16 0.0750634
  26 17.7274 11 0.0516061
  27 18.4274 25 0.117287
  28 19.1274 10 0.0469146
  29 19.8274 26 0.121978
  30 20.5274 6 0.0281488
  31 21.2274 30 0.140744
  32 21.9274 2 0.00938293
  33 22.6274 34 0.15951
  34 23.3274 1 0.00469146
  35 24.0274 32 0.150127
  36 24.7274 5 0.0234573
  37 25.4274 31 0.145435
  38 26.1274 3 0.0140744
  39 26.8274 32 0.150127
  40 27.5274 4 0.0187659
  41 28.2274 26 0.121978
  42 28.9274 10 0.0469146
  43 29.6274 27 0.12667
  44 30.3274 9 0.0422232
  45 31.0274 27 0.12667
  46 31.7274 9 0.0422232
  47 32.4274 24 0.112595
  48 33.1274 12 0.0562976
  49 33.8274 23 0.107904
  50 34.5274 13 0.060989
