# Chunk-averaged data for fix 14 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
500000 52 864
  1 -0.242741 32 0.142354
  2 0.457259 11 0.0489341
  3 1.15726 25 0.111214
  4 1.85726 7 0.0311399
  5 2.55726 29 0.129008
  6 3.25726 3 0.0133457
  7 3.95726 33 0.146802
  8 4.65726 0 0
  9 5.35726 36 0.160148
  10 6.05726 0 0
  11 6.75726 34 0.151251
  12 7.45726 2 0.0088971
  13 8.15726 31 0.137905
  14 8.85726 5 0.0222428
  15 9.55726 20 0.088971
  16 10.2573 16 0.0711768
  17 10.9573 9 0.040037
  18 11.6573 27 0.120111
  19 12.3573 3 0.0133457
  20 13.0573 33 0.146802
  21 13.7573 3 0.0133457
  22 14.4573 33 0.146802
  23 15.1573 1 0.00444855
  24 15.8573 35 0.155699
  25 16.5573 7 0.0311399
  26 17.2573 16 0.0711768
  27 17.9573 17 0.0756254
  28 18.6573 17 0.0756254
  29 19.3573 15 0.0667283
  30 20.0573 18 0.0800739
  31 20.7573 16 0.0711768
  32 21.4573 14 0.0622797
  33 22.1573 19 0.0845225
  34 22.8573 14 0.0622797
  35 23.5573 14 0.0622797
  36 24.2573 19 0.0845225
  37 24.9573 16 0.0711768
  38 25.6573 13 0.0578312
  39 26.3573 20 0.088971
  40 27.0573 20 0.088971
  41 27.7573 13 0.0578312
  42 28.4573 16 0.0711768
  43 29.1573 20 0.088971
  44 29.8573 16 0.0711768
  45 30.5573 18 0.0800739
  46 31.2573 17 0.0756254
  47 31.9573 17 0.0756254
  48 32.6573 20 0.088971
  49 33.3573 13 0.0578312
  50 34.0573 24 0.106765
  51 34.7573 6 0.0266913
  52 35.4573 1 0.00444855
