# Chunk-averaged data for fix 14 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
250000 51 864
  1 0.124235 24 0.111276
  2 0.824235 11 0.0510015
  3 1.52424 25 0.115913
  4 2.22424 5 0.0231825
  5 2.92424 31 0.143732
  6 3.62424 4 0.018546
  7 4.32424 32 0.148368
  8 5.02424 1 0.0046365
  9 5.72424 33 0.153005
  10 6.42424 2 0.00927301
  11 7.12424 35 0.162278
  12 7.82424 1 0.0046365
  13 8.52424 36 0.166914
  14 9.22424 0 0
  15 9.92424 34 0.157641
  16 10.6242 3 0.0139095
  17 11.3242 30 0.139095
  18 12.0242 5 0.0231825
  19 12.7242 31 0.143732
  20 13.4242 5 0.0231825
  21 14.1242 30 0.139095
  22 14.8242 6 0.027819
  23 15.5242 31 0.143732
  24 16.2242 5 0.0231825
  25 16.9242 21 0.0973666
  26 17.6242 16 0.074184
  27 18.3242 16 0.074184
  28 19.0242 20 0.0927301
  29 19.7242 11 0.0510015
  30 20.4242 22 0.102003
  31 21.1242 10 0.046365
  32 21.8242 28 0.129822
  33 22.5242 6 0.027819
  34 23.2242 28 0.129822
  35 23.9242 8 0.037092
  36 24.6242 27 0.125186
  37 25.3242 6 0.027819
  38 26.0242 27 0.125186
  39 26.7242 10 0.046365
  40 27.4242 25 0.115913
  41 28.1242 10 0.046365
  42 28.8242 19 0.0880935
  43 29.5242 16 0.074184
  44 30.2242 20 0.0927301
  45 30.9242 14 0.064911
  46 31.6242 17 0.0788205
  47 32.3242 19 0.0880935
  48 33.0242 4 0.018546
  49 33.7242 32 0.148368
  50 34.4242 7 0.0324555
  51 35.1242 5 0.0231825
