# Chunk-averaged data for fix 14 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
0 52 864
  1 -0.214058 28 0.124959
  2 0.485942 11 0.0490911
  3 1.18594 25 0.111571
  4 1.88594 7 0.0312398
  5 2.58594 29 0.129422
  6 3.28594 3 0.0133885
  7 3.98594 33 0.147273
  8 4.68594 0 0
  9 5.38594 36 0.160662
  10 6.08594 0 0
  11 6.78594 34 0.151736
  12 7.48594 2 0.00892565
  13 8.18594 32 0.14281
  14 8.88594 4 0.0178513
  15 9.58594 23 0.102645
  16 10.2859 13 0.0580167
  17 10.9859 9 0.0401654
  18 11.6859 27 0.120496
  19 12.3859 4 0.0178513
  20 13.0859 32 0.14281
  21 13.7859 3 0.0133885
  22 14.4859 33 0.147273
  23 15.1859 1 0.00446283
  24 15.8859 35 0.156199
  25 16.5859 6 0.026777
  26 17.2859 21 0.0937193
  27 17.9859 17 0.075868
  28 18.6859 19 0.0847937
  29 19.3859 11 0.0490911
  30 20.0859 22 0.0981822
  31 20.7859 14 0.0624796
  32 21.4859 19 0.0847937
  33 22.1859 15 0.0669424
  34 22.8859 22 0.0981822
  35 23.5859 15 0.0669424
  36 24.2859 17 0.075868
  37 24.9859 17 0.075868
  38 25.6859 19 0.0847937
  39 26.3859 12 0.0535539
  40 27.0859 17 0.075868
  41 27.7859 16 0.0714052
  42 28.4859 17 0.075868
  43 29.1859 12 0.0535539
  44 29.8859 23 0.102645
  45 30.5859 11 0.0490911
  46 31.2859 21 0.0937193
  47 31.9859 13 0.0580167
  48 32.6859 20 0.0892565
  49 33.3859 16 0.0714052
  50 34.0859 19 0.0847937
  51 34.7859 9 0.0401654
  52 35.4859 0 0
