step temp press pressGiga vol ke pe density
0 1800.0000000000022737 -92757.707744480387191 -9.27577077444804 11454.288072338142229 200.79270924300024603 -3733.3588783130280717 5.3666711487694112037
100 1055.6646574174899342 -17882.917203871707898 -1.78829172038717 11015.311674357797529 117.76098145274515616 -3646.5309724822254793 5.5805409002278221209
200 1199.9825037648936359 27337.100805148162181 2.73371008051482 10624.439907607604255 133.85985443063970024 -3641.6612504965792141 5.7858482764342484828
300 1258.8038953999753176 16816.800298825812206 1.68168002988258 10714.791857175971018 140.42146920166837276 -3629.7860957583939125 5.7370593985306150842
400 1271.4374194154534052 -4260.7430367338547512 -0.426074303673386 10952.801641338737682 141.83075782075411553 -3612.760500051825602 5.6123902669342218275
500 1369.7329591078791964 -12451.596541965587676 -1.24515965419656 11040.29809228844897 152.7957732215013209 -3604.2843399528201189 5.5679110123347062
600 1406.2365464727090512 1933.6563700296069328 0.193365637002961 10962.961026312548711 156.86780333487507733 -3590.731852118234201 5.6071892602711317366
700 1563.273714087494227 10080.898140030434661 1.00808981400304 10927.577632584729145 174.38553574444165406 -3591.9200323153504542 5.6253452864256345833
800 1488.9553439082214936 3753.86707564896642 0.375386707564897 11042.250505840682308 166.09520969176367089 -3569.3493195499563626 5.5669265332276296476
900 1619.1176813876206779 -6285.0320304358692738 -0.628503203043587 11167.938149070228974 180.61501434948047518 -3569.2094911948333902 5.5042745139691175993
1000 1561.87751077457051 -5408.7816187200369313 -0.540878161872004 11163.826821818671306 174.22978716341054906 -3550.6047684648128779 5.5063015853462102811
1100 1724.0472673754686639 2615.18713004480378 0.26151871300448 11083.03772980416943 192.32006759961731746 -3556.3936396699837132 5.5464394172550433026
1200 1667.9121386313038329 8538.693484600935335 0.853869348460094 11067.613736519890153 186.05810949725872661 -3540.8561662135325605 5.5541690188078263191
1300 1766.718409636225033 -1070.6860959269649811 -0.107068609592696 11151.290603023904623 197.08009774463442909 -3544.2942496978848794 5.5124917389240533083
1400 1674.635604657241629 2273.5617402057946492 0.227356174020579 11226.124223198370601 186.80812225217613332 -3528.1110042325626637 5.4757453334145660406
1500 1714.888612665946539 -471.50721291810390312 -0.0471507212918104 11286.413870123571542 191.29840588175835592 -3524.6220436639923719 5.4464950545746440014
1600 1849.4811504251758834 -5718.7952272401589653 -0.571879522724016 11302.635257623976941 206.31240604873974576 -3534.554700380864233 5.4386783193809904446
1700 1754.1708262780659879 1038.5730725765445186 0.103857307257654 11261.588003531007416 195.68039593522490804 -3520.3479413008003576 5.458501705819524652
1800 1896.7074876802057588 -1185.7652607580198492 -0.118576526075802 11225.393747271022221 211.58057505155142053 -3534.5621858300755775 5.4761016594589264628
1900 1726.812753180322261 3319.6345804618085822 0.331963458046181 11214.469012118119281 192.62856170357821384 -3516.3537031955611383 5.4814362821000264248
2000 1774.6149125354411353 1590.2731554595254693 0.159027315545953 11250.865359591147353 197.96096452834487422 -3519.3398786962625309 5.4637039341251654179
2100 1757.0938762512269022 911.23413900926937004 0.0911234139009269 11299.895889211946269 196.00646655931578266 -3514.9735095342239219 5.4399967867135554656
2200 1752.7298365507256221 -732.38900362582546677 -0.0732389003625825 11341.603671359269356 195.51965136225601327 -3511.5847497514059796 5.419991661562220564
2300 1809.2735603879307291 -2114.8290927175694378 -0.211482909271757 11354.249741016583357 201.82718886223398158 -3515.3831659265206326 5.4139550150503357173
2400 1841.7380076006882064 -3049.5451350165808435 -0.304954513501658 11320.305048833140972 205.4486468121928624 -3519.5010104462608069 5.4301891214359958582
2500 1777.8935102528514562 3581.9004458493764105 0.358190044584938 11282.943807514910077 198.32669703845414233 -3512.3824011112583321 5.4481701208658144253
