step temp press vol ke pe density
0 2340.9725993206338899 -79388.611018293595407 11377.360258910066477 261.13901693400998738 -3737.857592685522377 5.4029577976464251421
1000 1474.160434330382941 4113.0100132383740856 11058.68979210139878 164.44481526001956695 -3565.7177015192564795 5.5586510231452779252
2000 1523.1997521108664841 3112.0259951533416825 11028.430931001115823 169.91522496922607388 -3574.6557627544389106 5.5739023721600764461
3000 1456.3819473359637868 -1720.1308868711141713 10978.858093260247188 162.46159827676908094 -3587.0960083982408833 5.5990702134356800102
4000 1508.0431391835052182 1378.2716033164681448 10937.769741349893593 168.22448198443032652 -3595.2588409776690241 5.6201034380089405218
5000 1542.7853680890518717 -2089.0617424792840211 10930.535681703928276 172.100029910588745 -3600.3286595945833142 5.6238229413042004623
6000 1441.0724819934707739 3493.9198776757125415 10877.992601381156419 160.75380437500186304 -3596.211379682513325 5.6509872345110627734
7000 1564.7233552785489792 1183.5031832287220368 10879.08296052737569 174.54724540120949428 -3611.4006372161288709 5.650420862727827398
8000 1491.1964279846713453 -2484.1982343993904578 10871.156712586516733 166.34520599362573989 -3606.0422573018126968 5.6545406301005423089
9000 1488.7051886149843085 232.34396651690784097 10876.532396696909927 166.06730449228558655 -3605.0446321691797493 5.6517458952431312014
10000 1514.9877393061303792 -3167.8479875873194942 10862.825124755567231 168.99916258066986074 -3611.1428552285460682 5.658877559155580883
11000 1506.9474489348638144 1587.5913537165963589 10797.352802405783223 168.10225608803261821 -3617.6055767833686332 5.6931915120726737101
12000 1497.956454283466428 676.38540110752467172 10828.065204118662223 167.0992971020085065 -3615.4214548565150835 5.6770435131965113484
13000 1481.281242364553691 -3041.6083867612373979 10865.831460896810313 165.23915211400870362 -3610.1667916640676594 5.6573118724259305878
14000 1501.4353540759248062 2492.7049087230843725 10825.577667530944382 167.48737361007107438 -3612.2800540975745207 5.6783480027935420154
15000 1525.6339058676119294 1899.5000049346590458 10771.04675707962997 170.18675848452105015 -3622.4857857093052189 5.7070959502711815503
16000 1500.6170759032040678 1622.4699971323950649 10774.673105486763234 167.39609344828497228 -3622.7792825865353734 5.705175157119871443
17000 1470.5745379318011601 -782.10130196602801789 10833.936931099280628 164.04480311949959059 -3613.9729631194859394 5.6739666954359329054
18000 1504.3101621178277583 -1465.9766371497935324 10816.079526896826792 167.80806277411954852 -3617.5339042492823864 5.6833344443009163882
19000 1480.1016258836207271 1446.4954601432418713 10788.313539717697495 165.10756412007856397 -3616.7785582977876402 5.6979616972755549043
20000 1488.2530007375698915 262.56552936443188173 10779.640071551570145 166.0168622539561909 -3621.0604432896320759 5.7025463669922702437
21000 1482.9353061135075222 1687.0036246058768938 10785.757238644373501 165.42366541479375996 -3618.9384590621166353 5.6993121546685987511
22000 1519.6950752996290248 3219.8466111824272957 10736.140037954828585 169.52427299592079635 -3626.4009255767323339 5.7256515945390589195
23000 1448.3641808554177715 3560.6954729644908184 10748.855506590769437 161.56720435804322733 -3620.7495372278340255 5.71887837638331753
24000 1479.0528797418255635 2207.147208709096958 10753.864258398469246 164.99057490945682503 -3621.7494473131937411 5.7162147345781537666
25000 1512.3516455717656299 -1603.2051539068486363 10759.526223551329167 168.70510235692452738 -3630.0850581548338596 5.7132067017000327525
26000 1473.7729443075911604 -1407.9056816237336989 10771.08103271314576 164.40159016475232079 -3622.0989740000868551 5.7070777892037236612
27000 1536.248842674535581 -1716.6548312084469217 10740.67281395145983 171.37087066224628984 -3633.3421190913559258 5.7232352565160731217
28000 1520.8943644018086161 847.43338528281742583 10727.096797854430406 169.65805550036091631 -3630.2866868581240851 5.7304784776255432988
29000 1511.9002671908156117 -1917.6394266332256393 10747.318162129648044 168.65475041914413623 -3630.8181140676038012 5.7196964303259969498
30000 1466.2652082695872195 1743.5204019416701158 10731.847625655334923 163.56409090955671104 -3626.7813989139140176 5.7279416808489189705
31000 1523.2844113002258837 -3162.9417616461355465 10783.23642688187465 169.92466882922261107 -3630.978376045301502 5.7006444905786066712
32000 1509.7842266916998142 2547.3764907250574652 10745.080735025210743 168.41870291654117864 -3630.316409710021162 5.7208874315048570125
33000 1433.8099573256322401 4348.3636432522125688 10715.240895425020426 159.94365881722441713 -3624.1326561219393625 5.7368189784474683535
34000 1497.5341304800060698 -2240.0163303184635879 10751.435627525677774 167.05218624607817901 -3630.3656557657295707 5.7175059645181214307
35000 1488.9318155970538555 -1654.9555696161426113 10743.393664829483896 166.09258507323963272 -3630.2287796973168952 5.7217858011429720833
36000 1431.6543591661052233 1484.6772138701744552 10740.326919443170482 159.70319859806292584 -3622.6476767852504963 5.7234195745223805929
37000 1527.5210204538154812 -3587.4073101104027046 10744.736952004550403 170.39726895697424425 -3633.5027248162696196 5.721070474046600296
38000 1478.4172674296935384 3142.1965398512470529 10710.13493925772309 164.91967139935613318 -3630.5463999385551688 5.7395539529748482721
39000 1533.4892140593797194 918.85296996700390082 10717.440857269699336 171.06302993661202549 -3633.3916003392596394 5.7356413854912311479
40000 1530.1496874891436164 -3246.3770138184431744 10754.846577130807418 170.69050072126384521 -3633.6703633181314217 5.7156926309133950781
41000 1521.4951574305146096 -2196.9839623922421197 10735.694580088676958 169.72507486698771118 -3634.069275278792702 5.7258891699024987432
42000 1503.9517660990179593 -2995.7639980152703174 10749.822699583599388 167.76808315878693634 -3630.9961067676931634 5.7183638321673742055
43000 1474.2039234605078946 -1325.5881320157277514 10750.117101118819846 164.44966653794199374 -3629.3817064819968436 5.7182072296787405108
44000 1494.8554266213561732 -652.54457202148432771 10721.709460730602586 166.75337279883484598 -3631.6864211121464905 5.7333578710238519704
45000 1473.4249007664022884 -1025.0005797686135338 10732.222099253462147 164.36276538388020185 -3631.7075835620607904 5.7277418188901139118
46000 1473.3782063335440853 -1474.4954216163046112 10721.399600921362435 164.35755654961343453 -3629.7103089925476525 5.7335235711415926119
47000 1500.711207533587185 547.20891713373384846 10718.114386060165998 167.40659397333502056 -3631.7733448650815262 5.7352809564581210822
48000 1513.8291192936037532 3546.6636311979373204 10705.616339495245484 168.86991677439297632 -3633.1281597385641362 5.7419764895487546141
49000 1519.4581065120589756 -1776.5340117984678727 10734.440316822974637 169.49783877099733331 -3633.8253373540046596 5.7265582101353675881
50000 1561.9152614755269042 2348.15685265920456 10707.181527581436967 174.23399831092211798 -3637.832151540842915 5.7411371208344501582
51000 1425.6522315097274713 3238.9283772803019019 10722.609328803147946 159.03365222398159062 -3624.9089776956952846 5.732876713356123588
52000 1502.1906206630001179 -589.05978016541087072 10729.541661846067655 167.57162473463750985 -3633.7554701182407371 5.7291727144413977513
53000 1509.031211894029866 -950.12711536859001171 10726.41708515339451 168.33470298247215169 -3632.3077451726117033 5.7308416071750780674
54000 1552.5618199963635107 -36.912522498060937437 10717.135049699689262 173.19060783572930973 -3637.9853456606838336 5.7358050488720140336
55000 1509.8234854724541947 -4326.6879684743271355 10747.133672843710883 168.42308229262408759 -3633.6800802995812774 5.7197946167580564492
56000 1527.4884721379023631 -3350.9461539159979111 10728.750813338898297 170.39363814334453195 -3634.3443866575985339 5.7295950290022776841
57000 1463.0011915277302705 3612.96322978932767 10728.640275410911272 163.1999849292167255 -3626.0831545400615141 5.7296540614189170881
58000 1530.5396977445363973 72.978249232182051287 10730.429289007242915 170.73400695227101664 -3632.5745537386583237 5.7286987940440452505
59000 1500.8471611413981464 -1550.6474041360659157 10737.629411093323142 167.42175980291486326 -3632.20357056515968 5.7248574125684577041
60000 1500.2812675580973973 294.75939876499569436 10710.943565109591873 167.35863352195141829 -3632.537871265863032 5.7391206436518773515
61000 1582.837969845628777 951.70812929276530667 10709.167263333092706 176.56795792110764864 -3640.0843191918843331 5.7400725766961739893
62000 1449.5954830435975964 1440.4865515627525383 10714.829919541260097 161.7045579704106899 -3629.1665615424972202 5.7370390187343733857
63000 1514.6113764922511109 1605.7018056747331229 10706.360361249577181 168.95717874230479083 -3635.6853275290141028 5.7415774598806939011
64000 1430.7675524925923582 -987.24752230659657926 10748.330447922277017 159.60427397886880385 -3626.2456085667331536 5.7191577450424890827
65000 1521.6608366163964092 -1880.7681912760551768 10760.695996653512339 169.74355662954235413 -3632.8071336019274895 5.7125856307647575605
66000 1540.3046161207855675 689.5148751331701078 10714.608490191829333 171.82329829466203819 -3635.4545559099046841 5.7371575810522354999
67000 1488.2147491988423553 -560.17754517250023127 10728.180174417717353 166.01259523723740585 -3630.5502861559443772 5.7298997899098136344
68000 1463.0779328059002182 643.0601629129154162 10713.2318270110718 163.20854553430257283 -3627.42990302593671 5.7378948127047912919
69000 1498.8333477708390546 116.71307297283165383 10722.525262206028856 167.19711589036799637 -3633.3777999380035908 5.7329216601783699048
70000 1541.6213936721956088 -2144.8282140343048923 10720.320273514733344 171.97018681244981053 -3636.6423731879358456 5.7341008252691745284
71000 1449.4579511150936924 2374.4380599466767308 10727.6493493328162 161.68921607678197461 -3628.8500050079492212 5.7301833165654141311
72000 1578.0887666387141053 204.28108832824779029 10690.878870122103763 176.03817715518434284 -3641.5364296046791424 5.7498918540088759244
73000 1530.1408250864062666 1537.5040517680834 10700.480202685552285 170.68951210689940012 -3637.8582768309970561 5.7447325879901089962
74000 1522.0280681176013786 -996.41833341109179401 10718.82974755622854 169.7845218562347327 -3636.6034322516993598 5.7348981908706475608
75000 1521.2687269780055885 -68.429239789019717932 10707.256510804825666 169.6998162092019129 -3636.6893183791789852 5.7410969154870947762
76000 1450.0678628607863629 2113.4754882613906375 10704.501462805019401 161.7572526500134984 -3631.5020614856439352 5.7425745179358074211
77000 1520.4192477286721896 2017.2159767229470617 10696.3489973738142 169.60505552035783694 -3635.1823608703066384 5.746951351587653356
78000 1459.017691549815936 -6065.3978162337971298 10765.647153418936796 162.75561951097515134 -3629.2956674299502993 5.7099583937217106566
79000 1502.0869991241179378 495.73108969762404286 10718.168810767247123 167.56006559601081563 -3632.4489782498130808 5.7352518338541020881
80000 1432.6637340828181095 -643.11316194585424455 10742.861981705365906 159.81579588926777546 -3624.9149107683142574 5.7220689823804731233
81000 1429.1105283805381987 2437.0632691039163547 10728.102352573465396 159.41943044512419192 -3623.3492831299281534 5.7299413547042545858
82000 1503.6066289346611029 180.23115145342421783 10747.297470825595155 167.72958258862487924 -3629.8539179292301924 5.7197074422085885104
83000 1538.5630574241970407 918.84081628555134102 10720.362973469849749 171.62902480077661949 -3633.7807037331749598 5.7340779859447525979
84000 1497.3167095782655451 -2327.1473382222998225 10766.004205249786537 167.02793261724119134 -3629.6372080733772236 5.7097690243828465029
85000 1507.1666469862154827 -2175.946569275535694 10752.109879844403622 168.12670796058355904 -3631.5915471940288626 5.7171474263617056977
86000 1548.1578417468901989 67.269266042920705218 10689.772451752034613 172.69933743341874788 -3638.4976930521984286 5.750486982296395766
87000 1551.1885112694126292 -2914.5115975130925108 10710.590489788495688 173.03741318022289875 -3642.1741060556150842 5.7393098341419825914
88000 1489.2536915154673807 -1675.2650671012170278 10711.282886912285903 166.12849081640536042 -3633.9689969155406288 5.7389388345461673779
89000 1583.1988161220090205 -2081.4652882136547305 10697.803538277443295 176.60821086636022414 -3644.142924240368302 5.7461699598017483837
90000 1488.3851740362547389 1185.5521337723596389 10707.945342692632039 166.03160638436315821 -3634.2011101972493634 5.7407275962106316669
91000 1543.1469614809777795 -2649.7719432615758706 10720.745386385347956 172.14036619770496372 -3638.8939400391609524 5.7338734492823038025
92000 1524.9786130304034941 -1746.3190264990198557 10714.693754814745262 170.11365958222626205 -3638.0693527231114786 5.7371119263103498298
93000 1504.0655581781632009 719.84074710020604471 10711.008818040541883 167.78077683648803031 -3635.6781674804624345 5.7390856801438241419
94000 1519.0544263934189075 -2557.5867406662491703 10740.242030222658286 169.45280764616995839 -3634.1208919208429506 5.7234648115500910137
95000 1498.6119859771949905 1664.4195295799486303 10701.327693360160993 167.17242264910763083 -3633.6183318755975051 5.7442776344146322387
96000 1478.9680586010324532 1616.8681116294894764 10707.215258611397076 164.98111298353404663 -3631.9558127148966378 5.7411190344820646203
97000 1481.6468956105591133 548.61257928552015528 10718.212750299933759 165.27994128395812368 -3632.0454881021159963 5.7352283220717481527
98000 1438.0466191171231003 698.76935821155416306 10717.351612738575568 160.41626481681316818 -3627.1893066841785185 5.7356891467894168812
99000 1519.3745821619379512 -4462.3322870237307143 10722.934656021941919 169.488521504025897 -3635.1509155432358966 5.7327027814152256013
100000 1504.9563230188794023 3508.68773874160388 10700.220502632397256 167.88014299519124961 -3633.3362491041843896 5.7448720157110706452
100000 1504.9563230188794023 3508.6877387416207057 10700.220502632397256 167.88014299519124961 -3633.3362491041843896 5.7448720157110697571
