# Chunk-averaged data for fix 1 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
527 52 864
  1 -0.173915 15 0.0672438
  2 0.526085 19 0.0851755
  3 1.22609 15 0.0672438
  4 1.92609 16 0.0717267
  5 2.62609 17 0.0762096
  6 3.32609 16 0.0717267
  7 4.02609 13 0.058278
  8 4.72609 20 0.0896584
  9 5.42609 11 0.0493121
  10 6.12609 22 0.0986242
  11 6.82609 9 0.0403463
  12 7.52609 26 0.116556
  13 8.22609 5 0.0224146
  14 8.92609 29 0.130005
  15 9.62609 1 0.00448292
  16 10.3261 36 0.161385
  17 11.0261 0 0
  18 11.7261 36 0.161385
  19 12.4261 0 0
  20 13.1261 36 0.161385
  21 13.8261 0 0
  22 14.5261 36 0.161385
  23 15.2261 0 0
  24 15.9261 36 0.161385
  25 16.6261 0 0
  26 17.3261 36 0.161385
  27 18.0261 0 0
  28 18.7261 36 0.161385
  29 19.4261 0 0
  30 20.1261 36 0.161385
  31 20.8261 0 0
  32 21.5261 36 0.161385
  33 22.2261 0 0
  34 22.9261 36 0.161385
  35 23.6261 0 0
  36 24.3261 36 0.161385
  37 25.0261 0 0
  38 25.7261 28 0.125522
  39 26.4261 8 0.0358634
  40 27.1261 26 0.116556
  41 27.8261 8 0.0358634
  42 28.5261 21 0.0941413
  43 29.2261 15 0.0672438
  44 29.9261 9 0.0403463
  45 30.6261 22 0.0986242
  46 31.3261 18 0.0806926
  47 32.0261 13 0.058278
  48 32.7261 17 0.0762096
  49 33.4261 18 0.0806926
  50 34.1261 11 0.0493121
  51 34.8261 18 0.0806926
  52 35.5261 2 0.00896584
