# Chunk-averaged data for fix 14 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 50 864
  1 0.187502 26 0.121423
  2 0.887502 5 0.0233505
  3 1.5875 29 0.135433
  4 2.2875 6 0.0280206
  5 2.9875 31 0.144773
  6 3.6875 2 0.00934021
  7 4.3875 30 0.140103
  8 5.0875 7 0.0326907
  9 5.7875 32 0.149443
  10 6.4875 2 0.00934021
  11 7.1875 23 0.107412
  12 7.8875 14 0.0653815
  13 8.5875 28 0.130763
  14 9.2875 8 0.0373609
  15 9.9875 21 0.0980722
  16 10.6875 14 0.0653815
  17 11.3875 16 0.0747217
  18 12.0875 20 0.0934021
  19 12.7875 9 0.042031
  20 13.4875 26 0.121423
  21 14.1875 7 0.0326907
  22 14.8875 27 0.126093
  23 15.5875 6 0.0280206
  24 16.2875 31 0.144773
  25 16.9875 4 0.0186804
  26 17.6875 34 0.158784
  27 18.3875 0 0
  28 19.0875 30 0.140103
  29 19.7875 6 0.0280206
  30 20.4875 29 0.135433
  31 21.1875 7 0.0326907
  32 21.8875 24 0.112083
  33 22.5875 12 0.0560413
  34 23.2875 26 0.121423
  35 23.9875 10 0.0467011
  36 24.6875 23 0.107412
  37 25.3875 13 0.0607114
  38 26.0875 19 0.088732
  39 26.7875 17 0.0793918
  40 27.4875 18 0.0840619
  41 28.1875 18 0.0840619
  42 28.8875 15 0.0700516
  43 29.5875 21 0.0980722
  44 30.2875 19 0.088732
  45 30.9875 17 0.0793918
  46 31.6875 12 0.0560413
  47 32.3875 24 0.112083
  48 33.0875 15 0.0700516
  49 33.7875 21 0.0980722
  50 34.4875 10 0.0467011
