step temp press vol ke pe density
0 2340.9725993206338899 -79388.610902522588731 11377.360258910066477 261.13901693400998738 -3737.8575926855264697 5.4029577976464251421
100 1119.4310140727948237 1373.7843634464886691 10944.292283029368264 124.87421451461963784 -3604.6339034319635175 5.616753988088436067
200 1238.8291106601864158 32029.382702679180511 10736.981685808916154 138.19325189919729269 -3604.3309467205717738 5.7252027735837076605
300 1216.3214431322753626 89.748066496120557645 11027.088014675660816 135.68248770938063785 -3594.2078826526003468 5.5745811809699912232
400 1225.3924898603729616 -12900.592991020808768 11193.160796637661406 136.69437662504984132 -3584.1133745225542953 5.4918711920922476111
500 1335.7623491842559815 -1304.7716449316151284 11073.51233773027343 149.00630055416718278 -3587.662232489217331 5.5512104427844448651
600 1377.8953313025208445 6757.6818085251388766 10976.720897568975488 153.70629812528568436 -3586.1330633354987185 5.6001603667562322997
700 1380.6823805082610761 -786.89447217648273636 11040.076208261851207 154.01719765907131432 -3581.2348240803171393 5.5680229165002046443
800 1307.348913478941995 -732.69755652771164023 11091.105523844893469 145.83673903518288739 -3570.4011871123520905 5.5424048752716865707
900 1361.6782084980286527 -265.40888466848241478 11073.01971396499539 151.89725366748544388 -3572.7531595541022398 5.5514574086763879279
1000 1392.1641411596926901 5048.0167206070673274 11046.075244784749884 155.29800534133832457 -3575.0119267251438941 5.5649989670795996233
1100 1426.3339491454394192 -322.64112381064717283 11088.585000252789541 159.10969885232231036 -3579.1125140733320222 5.5436647079955934103
1200 1358.1001785102055237 -4506.3597815295743203 11112.624101916482687 151.49811903692562964 -3571.574826310710705 5.5316725162069815269
1300 1472.7296824142335936 -1484.6419940934256374 11036.843498470090708 164.28521273029832628 -3585.1234997851406661 5.5696537996603616705
1400 1400.3851188871567501 5282.2170560137428765 10944.898157656862168 156.21506778051823972 -3581.9134889433016724 5.6164430625155121746
1500 1451.8247004954132535 3847.6214030954456575 10950.649332603848961 161.95323053243393474 -3591.0534442666767063 5.613493361027387607
1600 1382.4393114120055088 -1095.2280979192585164 11026.997618767560198 154.21318594580219496 -3584.6505253167415503 5.5746268796583899885
